# Point-charge transverse RW dipolar wake, y-plane
# Source: existing freq_x/freq_y and Zx_C/Zy_C from IW2D model
# Bellows length has been subtracted from the RW impedance.
# No beta multiplication is applied in this cell.
# Z_perp unit: Ohm/m
#"s / mm"	"W_perp [V/C/m]"
#------------------------
1.495964365420	1.1365144231403e+16
1.498962290000	1.0898550981573e+16
1.501960214580	1.0441474396482e+16
1.504958139160	9.9951906651444e+15
1.507956063740	9.5608564171160e+15
1.510953988320	9.1395438741505e+15
1.513951912900	8.7322855996698e+15
1.516949837480	8.3401105664545e+15
1.519947762060	7.9640567600805e+15
1.522945686640	7.6051546608971e+15
1.525943611220	7.2643871962188e+15
1.528941535800	6.9426408266056e+15
1.531939460380	6.6406658722472e+15
1.534937384960	6.3590607045361e+15
1.537935309540	6.0982853759542e+15
1.540933234120	5.8586991100721e+15
1.543931158700	5.6406070825091e+15
1.546929083280	5.4442985140858e+15
1.549927007860	5.2700615502613e+15
1.552924932440	5.1181693770991e+15
1.555922857020	4.9888430839931e+15
1.558920781600	4.8822057060295e+15
1.561918706180	4.7982452728326e+15
1.564916630760	4.7368012837386e+15
1.567914555340	4.6975801446733e+15
1.570912479920	4.6801941452168e+15
1.573910404500	4.6842097061119e+15
1.576908329080	4.7091872488342e+15
1.579906253660	4.7546983931383e+15
1.582904178240	4.8203149684138e+15
1.585902102820	4.9055751607048e+15
1.588900027400	5.0099408700995e+15
1.591897951980	5.1327636945942e+15
1.594895876560	5.2732736347059e+15
1.597893801140	5.4305959218326e+15
1.600891725720	5.6037906489071e+15
1.603889650300	5.7919012231917e+15
1.606887574880	5.9939943640156e+15
1.609885499460	6.2091776720073e+15
1.612883424040	6.4365894183430e+15
1.615881348620	6.6753658365821e+15
1.618879273200	6.9245997837884e+15
1.621877197780	7.1833079053295e+15
1.624875122360	7.4504201604016e+15
1.627873046940	7.7247970134184e+15
1.630870971520	8.0052690463499e+15
1.633868896100	8.2906852253564e+15
1.636866820680	8.5799528008418e+15
1.639864745260	8.8720550537085e+15
1.642862669840	9.1660415659276e+15
1.645860594420	9.4609961456858e+15
1.648858519000	9.7559959868266e+15
1.651856443580	1.0050078878137e+16
1.654854368160	1.0342232088720e+16
1.657852292740	1.0631408183321e+16
1.660850217320	1.0916562678981e+16
1.663848141900	1.1196700093486e+16
1.666846066480	1.1470911737801e+16
1.669843991060	1.1738391769702e+16
1.672841915640	1.1998426323707e+16
1.675839840220	1.2250360779754e+16
1.678837764800	1.2493558514053e+16
1.681835689380	1.2727367637845e+16
1.684833613960	1.2951109083718e+16
1.687831538540	1.3164091164472e+16
1.690829463120	1.3365645562343e+16
1.693827387700	1.3555171489104e+16
1.696825312280	1.3732171616322e+16
1.699823236860	1.3896266490937e+16
1.702821161440	1.4047182316336e+16
1.705819086020	1.4184717065427e+16
1.708817010600	1.4308698050568e+16
1.711814935180	1.4418947204802e+16
1.714812859760	1.4515267256441e+16
1.717810784340	1.4597453899266e+16
1.720808708920	1.4665329072069e+16
1.723806633500	1.4718782378590e+16
1.726804558080	1.4757804576177e+16
1.729802482660	1.4782500102812e+16
1.732800407240	1.4793073614858e+16
1.735798331820	1.4789795401682e+16
1.738796256400	1.4772958547635e+16
1.741794180980	1.4742843779732e+16
1.744792105560	1.4699704916717e+16
1.747790030140	1.4643779894621e+16
1.750787954720	1.4575322529445e+16
