# Point-charge longitudinal RW wake function
# Source: existing freq_z, Zz_C from IW2D model
#"s / mm"	"W_parallel [V/C]"
#------------------------
1.295103418560	1.0245285697749e+17
1.298101343140	1.0483360908837e+17
1.301099267720	1.0680378527982e+17
1.304097192300	1.0837106659820e+17
1.307095116880	1.0954942045425e+17
1.310093041460	1.1035414116046e+17
1.313090966040	1.1079688829530e+17
1.316088890620	1.1088260045517e+17
1.319086815200	1.1060943700941e+17
1.322084739780	1.0997174030300e+17
1.325082664360	1.0896485934538e+17
1.328080588940	1.0758997190948e+17
1.331078513520	1.0585705118212e+17
1.334076438100	1.0378483867043e+17
1.337074362680	1.0139783091568e+17
1.340072287260	9.8721424992230e+16
1.343070211840	9.5777063343390e+16
1.346068136420	9.2579209200138e+16
1.349066061000	8.9135276463583e+16
1.352063985580	8.5448505347654e+16
1.355061910160	8.1522650952183e+16
1.358059834740	7.7366664786077e+16
1.361057759320	7.2997559151886e+16
1.364055683900	6.8440344477301e+16
1.367053608480	6.3725050290669e+16
1.370051533060	5.8881952637213e+16
1.373049457640	5.3936810427617e+16
1.376047382220	4.8907903190589e+16
1.379045306800	4.3805969588850e+16
1.382043231380	3.8637036769771e+16
1.385041155960	3.3407029556660e+16
1.388039080540	2.8126375146539e+16
1.391037005120	2.2812828147883e+16
1.394034929700	1.7491426149699e+16
1.397032854280	1.2191583656244e+16
1.400030778860	6.9424222963893e+15
1.403028703440	1.7681025431419e+15
1.406026628020	-3.3150855959495e+15
1.409024552600	-8.2987924199484e+15
1.412022477180	-1.3179843750410e+16
1.415020401760	-1.7955724842616e+16
1.418018326340	-2.2620057128370e+16
1.421016250920	-2.7159805217210e+16
1.424014175500	-3.1555282919848e+16
1.427012100080	-3.5782954211061e+16
1.430010024660	-3.9819958669163e+16
1.433007949240	-4.3648637400845e+16
1.436005873820	-4.7259342056942e+16
1.439003798400	-5.0650470877618e+16
1.442001722980	-5.3825736855099e+16
1.444999647560	-5.6789727832604e+16
1.447997572140	-5.9543464585232e+16
1.450995496720	-6.2081655954206e+16
1.453993421300	-6.4392695233573e+16
1.456991345880	-6.6461391494785e+16
1.459989270460	-6.8273385434185e+16
1.462987195040	-6.9819559646123e+16
1.465985119620	-7.1098760236203e+16
1.468983044200	-7.2117795229962e+16
1.471980968780	-7.2888715654077e+16
1.474978893360	-7.3424419458920e+16
1.477976817940	-7.3734252510033e+16
1.480974742520	-7.3821274676529e+16
1.483972667100	-7.3682217487579e+16
1.486970591680	-7.3310129890000e+16
1.489968516260	-7.2698684284044e+16
1.492966440840	-7.1846486477877e+16
1.495964365420	-7.0759738309570e+16
1.498962290000	-6.9452235849172e+16
1.501960214580	-6.7942705046177e+16
1.504958139160	-6.6250490546581e+16
1.507956063740	-6.4391235840921e+16
1.510953988320	-6.2374188357758e+16
1.513951912900	-6.0202135948309e+16
1.516949837480	-5.7873973066065e+16
1.519947762060	-5.5388891704242e+16
1.522945686640	-5.2750576258187e+16
1.525943611220	-4.9969786185784e+16
1.528941535800	-4.7064331398977e+16
1.531939460380	-4.4056443539481e+16
1.534937384960	-4.0968539628336e+16
1.537935309540	-3.7818984324209e+16
1.540933234120	-3.4619452149334e+16
1.543931158700	-3.1374875687017e+16
1.546929083280	-2.8085976754378e+16
1.549927007860	-2.4753393272334e+16
1.552924932440	-2.1381810132099e+16
1.555922857020	-1.7982506740723e+16
1.558920781600	-1.4573343169689e+16
1.561918706180	-1.1176186480828e+16
1.564916630760	-7.8127541454638e+15
1.567914555340	-4.5004508674388e+15
1.570912479920	-1.2497716314927e+15
1.573910404500	1.9357588797639e+15
1.576908329080	5.0571101967078e+15
1.579906253660	8.1156989509230e+15
1.582904178240	1.1109330341930e+16
1.585902102820	1.4029684841342e+16
1.588900027400	1.6862310450352e+16
1.591897951980	1.9589120749026e+16
1.594895876560	2.2192442593244e+16
1.597893801140	2.4659069235870e+16
1.600891725720	2.6982777687058e+16
1.603889650300	2.9164359904532e+16
1.606887574880	3.1209168483550e+16
1.609885499460	3.3123124945881e+16
1.612883424040	3.4908721286408e+16
1.615881348620	3.6562542324842e+16
1.618879273200	3.8075250901959e+16
1.621877197780	3.9434035332648e+16
1.624875122360	4.0626579378209e+16
1.627873046940	4.1645037295729e+16
1.630870971520	4.2488499163529e+16
1.633868896100	4.3163011571943e+16
1.636866820680	4.3679152806157e+16
1.639864745260	4.4048092567998e+16
1.642862669840	4.4277639324851e+16
1.645860594420	4.4369776486962e+16
1.648858519000	4.4320614685280e+16
1.651856443580	4.4122762360091e+16
1.654854368160	4.3769194601909e+16
1.657852292740	4.3257132253601e+16
1.660850217320	4.2590444853740e+16
1.663848141900	4.1779659346744e+16
1.666846066480	4.0839572818452e+16
1.669843991060	3.9785381182864e+16
1.672841915640	3.8628798381438e+16
1.675839840220	3.7375638980608e+16
1.678837764800	3.6025773695908e+16
1.681835689380	3.4575459098436e+16
1.684833613960	3.3021137075533e+16
1.687831538540	3.1363241823847e+16
1.690829463120	2.9608553718426e+16
1.693827387700	2.7770197817570e+16
1.696825312280	2.5865285250869e+16
1.699823236860	2.3911093867777e+16
1.702821161440	2.1921237967668e+16
1.705819086020	1.9903275949028e+16
1.708817010600	1.7858651637319e+16
1.711814935180	1.5784972647263e+16
1.714812859760	1.3679738763870e+16
1.717810784340	1.1544084356700e+16
1.720808708920	9.3850992946585e+15
1.723806633500	7.2158405421171e+15
1.726804558080	5.0530308127437e+15
1.729802482660	2.9133230270366e+15
1.732800407240	8.0955344583370e+14
1.735798331820	-1.2515940447007e+15
1.738796256400	-3.2696328942111e+15
1.741794180980	-5.2480249723330e+15
1.744792105560	-7.1905093903976e+15
1.747790030140	-9.0974201313306e+15
1.750787954720	-1.0963403157991e+16
1.753785879300	-1.2777405356770e+16
1.756783803880	-1.4524938466749e+16
1.759781728460	-1.6191753521903e+16
1.762779653040	-1.7767526051790e+16
1.765777577620	-1.9248152293809e+16
1.768775502200	-2.0635790171035e+16
1.771773426780	-2.1936640620538e+16
1.774771351360	-2.3157325389122e+16
1.777769275940	-2.4301248634902e+16
1.780767200520	-2.5366330228599e+16
1.783765125100	-2.6344970168691e+16
1.786763049680	-2.7226249315117e+16
1.789760974260	-2.7999518495714e+16
1.792758898840	-2.8658001216511e+16
1.795756823420	-2.9201034459231e+16
1.798754748000	-2.9634095872978e+16
1.801752672580	-2.9966612557645e+16
1.804750597160	-3.0208392584046e+16
1.807748521740	-3.0366042826425e+16
1.810746446320	-3.0440737440630e+16
1.813744370900	-3.0428181805069e+16
1.816742295480	-3.0320776714811e+16
1.819740220060	-3.0111148394969e+16
1.822738144640	-2.9795691439352e+16
1.825736069220	-2.9376770713149e+16
1.828733993800	-2.8862743320286e+16
1.831731918380	-2.8265794900775e+16
1.834729842960	-2.7598417143269e+16
1.837727767540	-2.6869868080024e+16
