#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Transverse RW dipolar bunch wake, x-plane
# Bellows length has been subtracted from the RW impedance.
# No beta multiplication is applied in this cell.
# Z_perp unit: Ohm/m
#"s / mm"	"W_perp [V/pC/m]"
#------------------------
-9.098701100300	8.7299406110148e-13
-9.095703175720	7.2116900699688e-13
-9.092705251140	7.4014713875995e-13
-9.089707326560	7.7810340228610e-13
-9.086709401980	7.2116900699688e-13
-9.083711477400	6.0730021641842e-13
-9.080713552820	4.1751889878766e-13
-9.077715628240	3.4160637173536e-13
-9.074717703660	4.5547516231382e-13
-9.071719779080	3.0365010820921e-13
-9.068721854500	5.5036582112919e-13
-9.065723929920	6.2627834818150e-13
-9.062726005340	-1.8978131763076e-13
-9.059728080760	2.2773758115691e-13
-9.056730156180	1.5182505410461e-13
-9.053732231600	4.3649703055074e-13
-9.050734307020	5.3138768936612e-13
-9.047736382440	7.7810340228610e-13
-9.044738457860	7.0219087523380e-13
-9.041740533280	1.0817535104953e-12
-9.038742608700	6.0730021641842e-13
-9.035744684120	5.3138768936612e-13
-9.032746759540	8.7299406110148e-13
-9.029748834960	-1.8978131763076e-14
-9.026750910380	-4.1751889878766e-13
-9.023752985800	-1.1386879057845e-13
-9.020755061220	-2.0875944939383e-13
-9.017757136640	4.9343142583997e-13
-9.014759212060	-1.8978131763076e-13
-9.011761287480	4.7445329407689e-13
-9.008763362900	-3.7956263526151e-13
-9.005765438320	-5.6934395289227e-13
-9.002767513740	1.5182505410461e-13
-8.999769589160	-7.5912527052303e-14
-8.996771664580	-1.5182505410461e-13
-8.993773740000	3.7956263526151e-14
-8.990775815420	1.1386879057845e-13
-8.987777890840	-3.2262823997229e-13
-8.984779966260	-1.5182505410461e-13
-8.981782041680	-5.1240955760304e-13
-8.978784117100	-1.3284692234153e-13
-8.975786192520	-2.4671571291998e-13
-8.972788267940	-7.5912527052303e-14
-8.969790343360	2.8467197644614e-13
-8.966792418780	-9.4890658815378e-14
-8.963794494200	1.3284692234153e-13
-8.960796569620	-5.8832208465535e-13
-8.957798645040	5.8832208465535e-13
-8.954800720460	-5.8832208465535e-13
-8.951802795880	-4.9343142583997e-13
-8.948804871300	-4.5547516231382e-13
-8.945806946720	1.7080318586768e-13
-8.942809022140	-7.5912527052303e-14
-8.939811097560	-2.2773758115691e-13
-8.936813172980	-1.8978131763076e-14
-8.933815248400	-1.5182505410461e-13
-8.930817323820	-1.7080318586768e-13
-8.927819399240	-3.7956263526151e-13
-8.924821474660	-5.6934395289227e-13
-8.921823550080	-2.0875944939383e-13
-8.918825625500	-2.2773758115691e-13
-8.915827700920	-5.5036582112919e-13
-8.912829776340	-7.7810340228610e-13
-8.909831851760	-1.5182505410461e-13
-8.906833927180	-3.6058450349844e-13
-8.903836002600	-4.3649703055074e-13
-8.900838078020	-4.1751889878766e-13
-8.897840153440	-7.4014713875995e-13
-8.894842228860	-4.1751889878766e-13
-8.891844304280	-3.0365010820921e-13
-8.888846379700	-6.0730021641842e-13
-8.885848455120	9.4890658815378e-14
-8.882850530540	-1.5182505410461e-13
-8.879852605960	-2.4671571291998e-13
-8.876854681380	-3.7956263526151e-13
-8.873856756800	-3.7956263526151e-13
-8.870858832220	-1.3284692234153e-13
-8.867860907640	-2.4671571291998e-13
-8.864862983060	-3.7956263526151e-14
-8.861865058480	-7.0219087523380e-13
-8.858867133900	-7.4014713875995e-13
-8.855869209320	-1.3284692234153e-13
-8.852871284740	-4.5547516231382e-13
-8.849873360160	-5.6934395289227e-14
-8.846875435580	-1.8978131763076e-14
-8.843877511000	-4.5547516231382e-13
-8.840879586420	-1.8978131763076e-13
-8.837881661840	-6.8321274347072e-13
-8.834883737260	-3.0365010820921e-13
-8.831885812680	-9.4890658815378e-14
-8.828887888100	2.4671571291998e-13
-8.825889963520	-3.0365010820921e-13
-8.822892038940	-3.6058450349844e-13
-8.819894114360	0.0000000000000e+00
-8.816896189780	-1.3284692234153e-13
-8.813898265200	-3.7956263526151e-14
-8.810900340620	4.1751889878766e-13
-8.807902416040	4.7445329407689e-13
-8.804904491460	-3.7956263526151e-13
-8.801906566880	-3.7956263526151e-13
-8.798908642300	-1.0248191152061e-12
-8.795910717720	9.4890658815378e-14
-8.792912793140	-4.5547516231382e-13
-8.789914868560	5.5036582112919e-13
-8.786916943980	-5.6934395289227e-13
-8.783919019400	4.7445329407689e-13
-8.780921094820	-1.7080318586768e-13
-8.777923170240	2.2773758115691e-13
-8.774925245660	-2.0875944939383e-13
-8.771927321080	-7.7810340228610e-13
-8.768929396500	1.5182505410461e-13
-8.765931471920	9.4890658815378e-14
-8.762933547340	-3.7956263526151e-14
-8.759935622760	7.5912527052303e-14
-8.756937698180	-3.7956263526151e-14
-8.753939773600	3.4160637173536e-13
-8.750941849020	-3.7956263526151e-13
-8.747943924440	1.3284692234153e-13
-8.744945999860	3.4160637173536e-13
-8.741948075280	0.0000000000000e+00
-8.738950150700	-2.6569384468306e-13
-8.735952226120	4.1751889878766e-13
-8.732954301540	-2.8467197644614e-13
-8.729956376960	1.7080318586768e-13
-8.726958452380	-3.6058450349844e-13
-8.723960527800	-3.0365010820921e-13
-8.720962603220	-1.8978131763076e-13
-8.717964678640	-3.7956263526151e-13
-8.714966754060	5.6934395289227e-13
-8.711968829480	1.5182505410461e-13
-8.708970904900	-7.5912527052303e-13
-8.705972980320	-1.3284692234153e-13
-8.702975055740	9.4890658815378e-14
-8.699977131160	7.5912527052303e-14
-8.696979206580	-3.2262823997229e-13
-8.693981282000	9.4890658815378e-14
-8.690983357420	-9.6788471991686e-13
-8.687985432840	-5.6934395289227e-13
-8.684987508260	-1.8978131763076e-13
-8.681989583680	-7.5912527052303e-14
-8.678991659100	-5.3138768936612e-13
-8.675993734520	-4.9343142583997e-13
-8.672995809940	-4.1751889878766e-13
-8.669997885360	-1.7080318586768e-13
-8.666999960780	-3.9854076702459e-13
-8.664002036200	-1.8978131763076e-13
-8.661004111620	1.8978131763076e-13
-8.658006187040	-9.1095032462763e-13
-8.655008262460	5.6934395289227e-14
-8.652010337880	-1.3284692234153e-13
-8.649012413300	-4.1751889878766e-13
-8.646014488720	2.6569384468306e-13
-8.643016564140	-1.3284692234153e-13
-8.640018639560	-7.5912527052303e-14
-8.637020714980	-8.3503779757533e-13
-8.634022790400	2.6569384468306e-13
-8.631024865820	-4.7445329407689e-13
-8.628026941240	-7.5912527052303e-14
-8.625029016660	-1.5182505410461e-13
-8.622031092080	1.5182505410461e-13
-8.619033167500	-4.7445329407689e-13
-8.616035242920	2.8467197644614e-13
-8.613037318340	-5.6934395289227e-14
-8.610039393760	-9.4890658815378e-14
-8.607041469180	-4.1751889878766e-13
-8.604043544600	-4.7445329407689e-13
-8.601045620020	2.0875944939383e-13
-8.598047695440	2.4671571291998e-13
-8.595049770860	-5.3138768936612e-13
-8.592051846280	-4.9343142583997e-13
-8.589053921700	3.7956263526151e-14
-8.586055997120	-7.5912527052303e-14
-8.583058072540	-3.7956263526151e-14
-8.580060147960	-2.6569384468306e-13
-8.577062223380	-5.3138768936612e-13
-8.574064298800	-5.8832208465535e-13
-8.571066374220	-9.4890658815378e-14
-8.568068449640	2.6569384468306e-13
-8.565070525060	-4.3649703055074e-13
-8.562072600480	2.2773758115691e-13
-8.559074675900	-3.6058450349844e-13
-8.556076751320	1.5182505410461e-13
-8.553078826740	-3.7956263526151e-13
-8.550080902160	-3.4160637173536e-13
-8.547082977580	-2.2773758115691e-13
-8.544085053000	-5.5036582112919e-13
-8.541087128420	-5.1240955760304e-13
-8.538089203840	-6.4525647994457e-13
-8.535091279260	-1.0627753787322e-12
-8.532093354680	-3.6058450349844e-13
-8.529095430100	-9.4890658815378e-13
-8.526097505520	-7.5912527052303e-14
-8.523099580940	-1.1576660375476e-12
-8.520101656360	-1.6321193316245e-12
-8.517103731780	-8.5401592933841e-13
-8.514105807200	-7.9708153404918e-13
-8.511107882620	-1.3664254869414e-12
-8.508109958040	-4.1751889878766e-13
-8.505112033460	-1.1386879057845e-12
-8.502114108880	-1.0248191152061e-12
-8.499116184300	-5.6934395289227e-13
-8.496118259720	-8.5401592933841e-13
-8.493120335140	-6.8321274347072e-13
-8.490122410560	-1.1576660375476e-12
-8.487124485980	-1.1386879057845e-12
-8.484126561400	-9.6788471991686e-13
-8.481128636820	-1.0058409834430e-12
-8.478130712240	-7.9708153404918e-13
-8.475132787660	-1.0627753787322e-12
-8.472134863080	-4.3649703055074e-13
-8.469136938500	-1.9547475715968e-12
-8.466139013920	-1.2715348281261e-12
-8.463141089340	-1.2905129598891e-12
-8.460143164760	-3.9854076702459e-13
-8.457145240180	-1.1386879057845e-12
-8.454147315600	-9.8686285167993e-13
-8.451149391020	-1.3284692234153e-12
-8.448151466440	-8.7299406110148e-13
-8.445153541860	-1.1197097740215e-12
-8.442155617280	-5.6934395289227e-13
-8.439157692700	-7.0219087523380e-13
-8.436159768120	-3.7956263526151e-14
-8.433161843540	-4.7445329407689e-13
-8.430163918960	-7.4014713875995e-13
-8.427165994380	-1.0058409834430e-12
-8.424168069800	3.7956263526151e-14
-8.421170145220	-1.0248191152061e-12
-8.418172220640	-5.3138768936612e-13
-8.415174296060	-6.4525647994457e-13
-8.412176371480	-8.1605966581225e-13
-8.409178446900	-7.4014713875995e-13
-8.406180522320	-2.8467197644614e-13
-8.403182597740	-7.7810340228610e-13
-8.400184673160	-8.5401592933841e-13
-8.397186748580	-9.4890658815378e-13
-8.394188824000	-3.6058450349844e-13
-8.391190899420	-6.2627834818150e-13
-8.388192974840	-7.0219087523380e-13
-8.385195050260	-3.4160637173536e-13
-8.382197125680	-8.9197219286456e-13
-8.379199201100	-3.9854076702459e-13
-8.376201276520	-5.5036582112919e-13
-8.373203351940	7.5912527052303e-14
-8.370205427360	-4.7445329407689e-13
-8.367207502780	-1.1766441693107e-12
-8.364209578200	-1.1386879057845e-13
-8.361211653620	-5.5036582112919e-13
-8.358213729040	-9.4890658815378e-13
-8.355215804460	-4.9343142583997e-13
-8.352217879880	-1.5182505410461e-13
-8.349219955300	-6.0730021641842e-13
-8.346222030720	-7.5912527052303e-14
-8.343224106140	-2.6569384468306e-13
-8.340226181560	-9.4890658815378e-14
-8.337228256980	-6.0730021641842e-13
-8.334230332400	-1.8978131763076e-13
-8.331232407820	1.8978131763076e-14
-8.328234483240	-8.5401592933841e-13
-8.325236558660	3.7956263526151e-14
-8.322238634080	-1.8978131763076e-14
-8.319240709500	-1.1197097740215e-12
-8.316242784920	-7.5912527052303e-14
-8.313244860340	-5.5036582112919e-13
-8.310246935760	1.5182505410461e-13
