#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Beta-weighted transverse dipolar bunch wake, y-plane
#"s / mm"	"W_perp_beta [V/pC]"
#------------------------
-4.047198183000	-3.2025597350190e-13
-4.017218937200	-2.8467197644614e-13
-3.987239691400	-1.0675199116730e-13
-3.957260445600	3.5583997055767e-14
-3.927281199800	4.6259196172497e-13
-3.897301954000	2.1350398233460e-13
-3.867322708200	2.4908797939037e-13
-3.837343462400	3.5583997055767e-14
-3.807364216600	-3.5583997055767e-14
-3.777384970800	-1.4233598822307e-13
-3.747405725000	7.1167994111534e-14
-3.717426479200	-3.9142396761344e-13
-3.687447233400	-1.4233598822307e-13
-3.657467987600	2.1350398233460e-13
-3.627488741800	3.5583997055767e-14
-3.597509496000	3.5583997055767e-14
-3.567530250200	2.4908797939037e-13
-3.537551004400	1.4233598822307e-13
-3.507571758600	3.2025597350190e-13
-3.477592512800	5.3375995583650e-13
-3.447613267000	0.0000000000000e+00
-3.417634021200	1.7791998527883e-13
-3.387654775400	-7.1167994111534e-14
-3.357675529600	-1.4233598822307e-13
-3.327696283800	-1.7791998527883e-13
-3.297717038000	-1.4233598822307e-13
-3.267737792200	3.5583997055767e-14
-3.237758546400	7.1167994111534e-14
-3.207779300600	2.1350398233460e-13
-3.177800054800	4.2700796466920e-13
-3.147820809000	2.4908797939037e-13
-3.117841563200	1.0675199116730e-13
-3.087862317400	2.8467197644614e-13
-3.057883071600	7.1167994111534e-14
-3.027903825800	8.5401592933841e-13
-2.997924580000	1.9215358410114e-12
-2.967945334200	2.4552957968479e-12
-2.937966088400	4.0031996687738e-12
-2.907986842600	6.9922554214582e-12
-2.878007596800	1.2792446941548e-11
-2.848028351000	2.2328958152494e-11
-2.818049105200	3.9249148752511e-11
-2.788069859400	6.7716346397124e-11
-2.758090613600	1.1600383040180e-10
-2.728111367800	1.9791819162418e-10
-2.698132122000	3.3584176421233e-10
-2.668152876200	5.6717332907187e-10
-2.638173630400	9.5320632113136e-10
-2.608194384600	1.5923127002515e-09
-2.578215138800	2.6471113329770e-09
-2.548235893000	4.3758886619373e-09
-2.518256647200	7.1950308286805e-09
-2.488277401400	1.1766355698447e-08
-2.458298155600	1.9138327952488e-08
-2.428318909800	3.0962952446114e-08
-2.398339664000	4.9824383525512e-08
-2.368360418200	7.9746477369747e-08
-2.338381172400	1.2695537928766e-07
-2.308401926600	2.0103157786257e-07
-2.278422680800	3.1662978628193e-07
-2.248443435000	4.9604024508545e-07
-2.218464189200	7.7296961526021e-07
-2.188484943400	1.1980921062454e-06
-2.158505697600	1.8471560538126e-06
-2.128526451800	2.8327309907668e-06
-2.098547206000	4.3211377763235e-06
-2.068567960200	6.5566951744726e-06
-2.038588714400	9.8962141535356e-06
-2.008609468600	1.4857766959399e-05
-1.978630222800	2.2189198120954e-05
-1.948650977000	3.2963755528119e-05
-1.918671731200	4.8712705261269e-05
-1.888692485400	7.1608059730675e-05
-1.858713239600	1.0471270380566e-04
-1.828733993800	1.5232054772686e-04
-1.798754748000	2.2041606097921e-04
-1.768775502200	3.1729096434691e-04
-1.738796256400	4.5436632753119e-04
-1.708817010600	6.4728110014900e-04
-1.678837764800	9.1732367592385e-04
-1.648858519000	1.2933017349604e-03
-1.618879273200	1.8139677163534e-03
-1.588900027400	2.5311431500897e-03
-1.558920781600	3.5137149226245e-03
-1.528941535800	4.8527105184040e-03
-1.498962290000	6.6676972024401e-03
-1.468983044200	9.1147917762856e-03
-1.439003798400	1.2396612231531e-02
-1.409024552600	1.6774549433469e-02
-1.379045306800	2.2583784418850e-02
-1.349066061000	3.0251523065141e-02
-1.319086815200	4.0318962327307e-02
-1.289107569400	5.3467537862476e-02
-1.259128323600	7.0550028045540e-02
-1.229149077800	9.2627099913753e-02
-1.199169832000	1.2100987381933e-01
-1.169190586200	1.5730905050446e-01
-1.139211340400	2.0349108176279e-01
-1.109232094600	2.6194176879074e-01
-1.079252848800	3.3553753608017e-01
-1.049273603000	4.2772444939485e-01
-1.019294357200	5.4260482132545e-01
-0.989315111400	6.8503097607230e-01
-0.959335865600	8.6070542747500e-01
-0.929356619800	1.0762863644186e+00
-0.899377374000	1.3394969419639e+00
-0.869398128200	1.6592364543690e+00
-0.839418882400	2.0456910303160e+00
-0.809439636600	2.5104410571422e+00
-0.779460390800	3.0665621285535e+00
-0.749481145000	3.7287159406102e+00
-0.719501899200	4.5132272569270e+00
-0.689522653400	5.4381428500087e+00
-0.659543407600	6.5232682251441e+00
-0.629564161800	7.7901779683080e+00
-0.599584916000	9.2621957490244e+00
-0.569605670200	1.0964340367316e+01
-0.539626424400	1.2923234769112e+01
-0.509647178600	1.5166975667643e+01
-0.479667932800	1.7724962292167e+01
-0.449688687000	2.0627683823544e+01
-0.419709441200	2.3906466243238e+01
-0.389730195400	2.7593180584017e+01
-0.359750949600	3.1719915884781e+01
-0.329771703800	3.6318621469697e+01
-0.299792458000	4.1420724439944e+01
-0.269813212200	4.7056729429228e+01
-0.239833966400	5.3255808676817e+01
-0.209854720600	6.0045391262552e+01
-0.179875474800	6.7450760881789e+01
-0.149896229000	7.5494671778327e+01
-0.119916983200	8.4196992375250e+01
-0.089937737400	9.3574385735816e+01
-0.059958491600	1.0364003525221e+02
-0.029979245800	1.1440342291694e+02
0.000000000000	1.2587016621266e+02
0.029979245800	1.3804191810693e+02
0.059958491600	1.5091633291600e+02
0.089937737400	1.6448709897176e+02
0.119916983200	1.7874403715990e+02
0.149896229000	1.9367326256699e+02
0.179875474800	2.0925740475235e+02
0.209854720600	2.2547588061081e+02
0.239833966400	2.4230521247357e+02
0.269813212200	2.5971938305170e+02
0.299792458000	2.7769021809172e+02
0.329771703800	2.9618778720578e+02
0.359750949600	3.1518081326009e+02
0.389730195400	3.3463708094574e+02
0.419709441200	3.5452383568938e+02
0.449688687000	3.7480816485197e+02
0.479667932800	3.9545735416626e+02
0.509647178600	4.1643921352669e+02
0.539626424400	4.3772236751320e+02
0.569605670200	4.5927650734857e+02
0.599584916000	4.8107260230250e+02
0.629564161800	5.0308306981789e+02
0.659543407600	5.2528190480119e+02
0.689522653400	5.4764476955745e+02
0.719501899200	5.7014904673387e+02
0.749481145000	5.9277385834926e+02
0.779460390800	6.1550005452163e+02
0.809439636600	6.3831017586462e+02
0.839418882400	6.6118839371256e+02
0.869398128200	6.8412043236925e+02
0.899377374000	7.0709347747480e+02
0.929356619800	7.3009607437080e+02
0.959335865600	7.5311802004042e+02
0.989315111400	7.7615025182983e+02
1.019294357200	7.9918473574560e+02
1.049273603000	8.2221435668841e+02
1.079252848800	8.4523281254819e+02
1.109232094600	8.6823451366308e+02
1.139211340400	8.9121448874903e+02
1.169190586200	9.1416829804668e+02
1.199169832000	9.3709195411471e+02
1.229149077800	9.5998185042682e+02
1.259128323600	9.8283469770419e+02
1.289107569400	1.0056474677364e+03
1.319086815200	1.0284173443069e+03
