# Freq(GHz) Re(Zx/y) Im(Zx/y)
# Unit: Ohm/m
# Transverse offset used for normalization: 1.200000e+01 mm
2.390000e+00 5.406997e+03 2.764096e+03
2.400000e+00 5.433893e+03 2.684936e+03
2.410000e+00 5.459485e+03 2.605627e+03
2.420000e+00 5.483775e+03 2.526183e+03
2.430000e+00 5.506765e+03 2.446620e+03
2.440000e+00 5.528459e+03 2.366953e+03
2.450000e+00 5.548859e+03 2.287195e+03
2.460000e+00 5.567967e+03 2.207363e+03
2.470000e+00 5.585788e+03 2.127471e+03
2.480000e+00 5.602323e+03 2.047534e+03
2.490000e+00 5.617577e+03 1.967568e+03
2.500000e+00 5.631552e+03 1.887589e+03
2.510000e+00 5.644251e+03 1.807610e+03
2.520000e+00 5.655678e+03 1.727649e+03
2.530000e+00 5.665837e+03 1.647720e+03
2.540000e+00 5.674732e+03 1.567839e+03
2.550000e+00 5.682365e+03 1.488022e+03
2.560000e+00 5.688742e+03 1.408283e+03
2.570000e+00 5.693867e+03 1.328639e+03
2.580000e+00 5.697743e+03 1.249106e+03
2.590000e+00 5.700375e+03 1.169698e+03
2.600000e+00 5.701769e+03 1.090432e+03
2.610000e+00 5.701928e+03 1.011323e+03
2.620000e+00 5.700858e+03 9.323859e+02
2.630000e+00 5.698563e+03 8.536371e+02
2.640000e+00 5.695050e+03 7.750918e+02
2.650000e+00 5.690324e+03 6.967654e+02
2.660000e+00 5.684389e+03 6.186732e+02
2.670000e+00 5.677253e+03 5.408306e+02
2.680000e+00 5.668921e+03 4.632528e+02
2.690000e+00 5.659400e+03 3.859550e+02
2.700000e+00 5.648694e+03 3.089521e+02
2.710000e+00 5.636812e+03 2.322593e+02
2.720000e+00 5.623760e+03 1.558914e+02
2.730000e+00 5.609545e+03 7.986328e+01
2.740000e+00 5.594173e+03 4.189529e+00
2.750000e+00 5.577652e+03 -7.111524e+01
2.760000e+00 5.559989e+03 -1.460366e+02
2.770000e+00 5.541192e+03 -2.205602e+02
2.780000e+00 5.521268e+03 -2.946718e+02
2.790000e+00 5.500226e+03 -3.683574e+02
2.800000e+00 5.478073e+03 -4.416030e+02
2.810000e+00 5.454817e+03 -5.143950e+02
2.820000e+00 5.430467e+03 -5.867197e+02
2.830000e+00 5.405030e+03 -6.585636e+02
2.840000e+00 5.378517e+03 -7.299136e+02
2.850000e+00 5.350934e+03 -8.007565e+02
2.860000e+00 5.322292e+03 -8.710794e+02
2.870000e+00 5.292599e+03 -9.408695e+02
2.880000e+00 5.261865e+03 -1.010114e+03
2.890000e+00 5.230097e+03 -1.078802e+03
2.900000e+00 5.197306e+03 -1.146920e+03
2.910000e+00 5.163502e+03 -1.214456e+03
2.920000e+00 5.128693e+03 -1.281398e+03
2.930000e+00 5.092889e+03 -1.347736e+03
2.940000e+00 5.056100e+03 -1.413458e+03
2.950000e+00 5.018335e+03 -1.478553e+03
2.960000e+00 4.979605e+03 -1.543011e+03
2.970000e+00 4.939919e+03 -1.606820e+03
2.980000e+00 4.899287e+03 -1.669970e+03
2.990000e+00 4.857720e+03 -1.732452e+03
3.000000e+00 4.815226e+03 -1.794256e+03
3.010000e+00 4.771817e+03 -1.855372e+03
3.020000e+00 4.727501e+03 -1.915791e+03
3.030000e+00 4.682290e+03 -1.975504e+03
3.040000e+00 4.636193e+03 -2.034503e+03
3.050000e+00 4.589220e+03 -2.092779e+03
3.060000e+00 4.541381e+03 -2.150324e+03
3.070000e+00 4.492686e+03 -2.207131e+03
3.080000e+00 4.443145e+03 -2.263192e+03
3.090000e+00 4.392767e+03 -2.318500e+03
3.100000e+00 4.341562e+03 -2.373048e+03
3.110000e+00 4.289540e+03 -2.426831e+03
3.120000e+00 4.236710e+03 -2.479841e+03
3.130000e+00 4.183081e+03 -2.532074e+03
3.140000e+00 4.128662e+03 -2.583523e+03
3.150000e+00 4.073462e+03 -2.634184e+03
3.160000e+00 4.017490e+03 -2.684053e+03
3.170000e+00 3.960754e+03 -2.733125e+03
3.180000e+00 3.903263e+03 -2.781397e+03
3.190000e+00 3.845024e+03 -2.828864e+03
3.200000e+00 3.786044e+03 -2.875524e+03
3.210000e+00 3.726332e+03 -2.921375e+03
3.220000e+00 3.665893e+03 -2.966414e+03
3.230000e+00 3.604735e+03 -3.010640e+03
3.240000e+00 3.542863e+03 -3.054052e+03
3.250000e+00 3.480282e+03 -3.096649e+03
3.260000e+00 3.416998e+03 -3.138430e+03
3.270000e+00 3.353015e+03 -3.179396e+03
3.280000e+00 3.288337e+03 -3.219548e+03
3.290000e+00 3.222967e+03 -3.258888e+03
3.300000e+00 3.156907e+03 -3.297416e+03
3.310000e+00 3.090159e+03 -3.335137e+03
3.320000e+00 3.022723e+03 -3.372052e+03
3.330000e+00 2.954600e+03 -3.408166e+03
3.340000e+00 2.885788e+03 -3.443484e+03
3.350000e+00 2.816284e+03 -3.478010e+03
3.360000e+00 2.746087e+03 -3.511751e+03
3.370000e+00 2.675190e+03 -3.544713e+03
3.380000e+00 2.603588e+03 -3.576903e+03
3.390000e+00 2.531273e+03 -3.608330e+03
3.400000e+00 2.458235e+03 -3.639004e+03
3.410000e+00 2.384465e+03 -3.668934e+03
3.420000e+00 2.309949e+03 -3.698132e+03
3.430000e+00 2.234673e+03 -3.726610e+03
3.440000e+00 2.158618e+03 -3.754382e+03
3.450000e+00 2.081765e+03 -3.781462e+03
3.460000e+00 2.004093e+03 -3.807866e+03
3.470000e+00 1.925575e+03 -3.833611e+03
3.480000e+00 1.846183e+03 -3.858718e+03
3.490000e+00 1.765885e+03 -3.883205e+03
3.500000e+00 1.684645e+03 -3.907097e+03
3.510000e+00 1.602421e+03 -3.930416e+03
3.520000e+00 1.519170e+03 -3.953190e+03
3.530000e+00 1.434841e+03 -3.975447e+03
3.540000e+00 1.349377e+03 -3.997220e+03
3.550000e+00 1.262716e+03 -4.018541e+03
3.560000e+00 1.174788e+03 -4.039448e+03
3.570000e+00 1.085515e+03 -4.059983e+03
3.580000e+00 9.948095e+02 -4.080190e+03
3.590000e+00 9.025751e+02 -4.100117e+03
3.600000e+00 8.087033e+02 -4.119819e+03
3.610000e+00 7.130732e+02 -4.139354e+03
3.620000e+00 6.155493e+02 -4.158788e+03
3.630000e+00 5.159800e+02 -4.178192e+03
3.640000e+00 4.141949e+02 -4.197647e+03
3.650000e+00 3.100024e+02 -4.217242e+03
3.660000e+00 2.031869e+02 -4.237076e+03
3.670000e+00 9.350452e+01 -4.257259e+03
3.680000e+00 -1.932067e+01 -4.277917e+03
3.690000e+00 -1.356022e+02 -4.299190e+03
3.700000e+00 -2.556970e+02 -4.321238e+03
3.710000e+00 -3.800134e+02 -4.344241e+03
3.720000e+00 -5.090197e+02 -4.368408e+03
3.730000e+00 -6.432555e+02 -4.393976e+03
3.740000e+00 -7.833452e+02 -4.421220e+03
3.750000e+00 -9.300149e+02 -4.450460e+03
3.760000e+00 -1.084114e+03 -4.482071e+03
3.770000e+00 -1.246639e+03 -4.516492e+03
3.780000e+00 -1.418772e+03 -4.554247e+03
3.790000e+00 -1.601921e+03 -4.595962e+03
3.800000e+00 -1.797774e+03 -4.642391e+03
3.810000e+00 -2.008377e+03 -4.694454e+03
3.820000e+00 -2.236229e+03 -4.753286e+03
3.830000e+00 -2.484417e+03 -4.820298e+03
3.840000e+00 -2.756794e+03 -4.897276e+03
3.850000e+00 -3.058235e+03 -4.986506e+03
3.860000e+00 -3.394998e+03 -5.090969e+03
3.870000e+00 -3.775249e+03 -5.214620e+03
3.880000e+00 -4.209843e+03 -5.362828e+03
3.890000e+00 -4.713531e+03 -5.543064e+03
3.900000e+00 -5.306876e+03 -5.766032e+03
3.910000e+00 -6.019408e+03 -6.047623e+03
3.920000e+00 -6.895095e+03 -6.412451e+03
3.930000e+00 -8.002351e+03 -6.900717e+03
3.940000e+00 -9.453622e+03 -7.582640e+03
3.950000e+00 -1.144721e+04 -8.592213e+03
3.960000e+00 -1.436694e+04 -1.021821e+04
3.970000e+00 -1.905654e+04 -1.320455e+04
3.980000e+00 -2.772397e+04 -2.010836e+04
3.990000e+00 -4.661230e+04 -4.605768e+04
4.000000e+00 7.500054e+04 -1.458724e+05
4.010000e+00 5.787761e+04 -4.469770e+03
4.020000e+00 3.100500e+04 1.441451e+03
4.030000e+00 2.089140e+04 1.305851e+03
4.040000e+00 1.570430e+04 7.642789e+02
4.050000e+00 1.255892e+04 2.861456e+02
4.060000e+00 1.044677e+04 -9.311900e+01
4.070000e+00 8.927974e+03 -3.904163e+02
4.080000e+00 7.780904e+03 -6.251025e+02
4.090000e+00 6.881994e+03 -8.123243e+02
4.100000e+00 6.156984e+03 -9.631713e+02
4.110000e+00 5.558587e+03 -1.085703e+03
4.120000e+00 5.055276e+03 -1.185831e+03
4.130000e+00 4.625230e+03 -1.267960e+03
4.140000e+00 4.252867e+03 -1.335421e+03
4.150000e+00 3.926766e+03 -1.390776e+03
4.160000e+00 3.638366e+03 -1.436021e+03
4.170000e+00 3.381124e+03 -1.472737e+03
4.180000e+00 3.149954e+03 -1.502189e+03
4.190000e+00 2.940843e+03 -1.525401e+03
4.200000e+00 2.750580e+03 -1.543214e+03
4.210000e+00 2.576570e+03 -1.556320e+03
4.220000e+00 2.416689e+03 -1.565300e+03
4.230000e+00 2.269185e+03 -1.570641e+03
4.240000e+00 2.132596e+03 -1.572756e+03
4.250000e+00 2.005696e+03 -1.572000e+03
4.260000e+00 1.887448e+03 -1.568676e+03
4.270000e+00 1.776967e+03 -1.563048e+03
4.280000e+00 1.673498e+03 -1.555345e+03
4.290000e+00 1.576386e+03 -1.545769e+03
4.300000e+00 1.485066e+03 -1.534498e+03
4.310000e+00 1.399045e+03 -1.521688e+03
4.320000e+00 1.317892e+03 -1.507480e+03
4.330000e+00 1.241227e+03 -1.491998e+03
4.340000e+00 1.168715e+03 -1.475356e+03
4.350000e+00 1.100058e+03 -1.457655e+03
4.360000e+00 1.034994e+03 -1.438988e+03
4.370000e+00 9.732844e+02 -1.419437e+03
4.380000e+00 9.147191e+02 -1.399081e+03
4.390000e+00 8.591071e+02 -1.377988e+03
4.400000e+00 8.062769e+02 -1.356224e+03
4.410000e+00 7.560731e+02 -1.333848e+03
4.420000e+00 7.083544e+02 -1.310916e+03
4.430000e+00 6.629925e+02 -1.287479e+03
4.440000e+00 6.198701e+02 -1.263585e+03
4.450000e+00 5.788800e+02 -1.239278e+03
4.460000e+00 5.399236e+02 -1.214601e+03
4.470000e+00 5.029102e+02 -1.189593e+03
4.480000e+00 4.677562e+02 -1.164290e+03
4.490000e+00 4.343843e+02 -1.138728e+03
4.500000e+00 4.027227e+02 -1.112940e+03
4.510000e+00 3.727047e+02 -1.086958e+03
4.520000e+00 3.442683e+02 -1.060810e+03
4.530000e+00 3.173555e+02 -1.034525e+03
4.540000e+00 2.919120e+02 -1.008130e+03
4.550000e+00 2.678868e+02 -9.816513e+02
4.560000e+00 2.452321e+02 -9.551127e+02
4.570000e+00 2.239028e+02 -9.285379e+02
4.580000e+00 2.038562e+02 -9.019494e+02
4.590000e+00 1.850521e+02 -8.753688e+02
4.600000e+00 1.674521e+02 -8.488169e+02
4.610000e+00 1.510201e+02 -8.223135e+02
4.620000e+00 1.357213e+02 -7.958779e+02
4.630000e+00 1.215228e+02 -7.695284e+02
4.640000e+00 1.083930e+02 -7.432829e+02
4.650000e+00 9.630165e+01 -7.171584e+02
4.660000e+00 8.521978e+01 -6.911716e+02
4.670000e+00 7.511949e+01 -6.653384e+02
4.680000e+00 6.597393e+01 -6.396742e+02
4.690000e+00 5.775719e+01 -6.141939e+02
4.700000e+00 5.044425e+01 -5.889119e+02
4.710000e+00 4.401086e+01 -5.638420e+02
4.720000e+00 3.843356e+01 -5.389978e+02
4.730000e+00 3.368954e+01 -5.143921e+02
4.740000e+00 2.975664e+01 -4.900376e+02
4.750000e+00 2.661328e+01 -4.659464e+02
4.760000e+00 2.423844e+01 -4.421302e+02
4.770000e+00 2.261159e+01 -4.186004e+02
4.780000e+00 2.171266e+01 -3.953680e+02
4.790000e+00 2.152204e+01 -3.724434e+02
4.800000e+00 2.202049e+01 -3.498370e+02
4.810000e+00 2.318919e+01 -3.275587e+02
4.820000e+00 2.500964e+01 -3.056178e+02
4.830000e+00 2.746368e+01 -2.840238e+02
4.840000e+00 3.053345e+01 -2.627853e+02
4.850000e+00 3.420138e+01 -2.419109e+02
4.860000e+00 3.845018e+01 -2.214089e+02
4.870000e+00 4.326280e+01 -2.012870e+02
4.880000e+00 4.862243e+01 -1.815530e+02
4.890000e+00 5.451249e+01 -1.622141e+02
4.900000e+00 6.091662e+01 -1.432772e+02
4.910000e+00 6.781864e+01 -1.247491e+02
4.920000e+00 7.520258e+01 -1.066362e+02
4.930000e+00 8.305265e+01 -8.894445e+01
4.940000e+00 9.135321e+01 -7.167982e+01
