#Parameters = {mesh_cpw=10; sigma_z=3; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
#"Frequency / GHz"	"Z (sigma_z=3) [Magnitude]"
#---------------------------------------------
12.730669800219	85.622312394650
12.764800282257	85.915673666046
12.798930764295	86.558125697105
12.833061246333	87.529537647657
12.867191728371	88.801331732457
12.901322210409	90.338266801911
12.935452692447	92.100396343177
12.969583174485	94.044982353608
13.003713656524	96.128205597799
13.037844138562	98.306583401469
13.071974620600	100.53806883401
13.106105102638	102.78284982605
13.140235584676	105.00389195650
13.174366066714	107.16727794340
13.208496548752	109.24239563025
13.242627030790	111.20201937741
13.276757512828	113.02232081294
13.310887994867	114.68283603351
13.345018476905	116.16640864445
13.379148958943	117.45912184615
13.413279440981	118.55022807149
13.447409923019	119.43208123390
13.481540405057	120.10007417861
13.515670887095	120.55258217353
13.549801369133	120.79091199585
13.583931851172	120.81925517574
13.618062333210	120.64464309440
13.652192815248	120.27690077931
13.686323297286	119.72859529864
13.720453779324	119.01497356089
13.754584261362	118.15388303334
13.788714743400	117.16566740248
13.822845225438	116.07302756583
13.856975707477	114.90083670172
13.891106189515	113.67589675730
13.925236671553	112.42662290225
13.959367153591	111.18264284552
13.993497635629	109.97430004950
14.027628117667	108.83205448646
14.061758599705	107.78578221396
14.095889081743	106.86398585844
14.130019563781	106.09294155285
14.164150045820	105.49582249006
14.198280527858	105.09185255391
14.232411009896	104.89555232711
14.266541491934	104.91614107726
14.300671973972	105.15715011952
14.334802456010	105.61628531654
14.368932938048	106.28555191076
14.403063420086	107.15162786076
14.437193902125	108.19644756368
14.471324384163	109.39794065500
14.505454866201	110.73086282707
14.539585348239	112.16765722411
14.573715830277	113.67929390361
14.607846312315	115.23604803580
14.641976794353	116.80819186193
14.676107276391	118.36658856254
14.710237758430	119.88318669190
14.744368240468	121.33142122692
14.778498722506	122.68653173383
14.812629204544	123.92581021780
14.846759686582	125.02879155260
14.880890168620	125.97739861385
14.915020650658	126.75605286357
14.949151132696	127.35175951867
14.983281614734	127.75417481272
15.017412096773	127.95566135630
15.051542578811	127.95133626807
15.085673060849	127.73911558265
15.119803542887	127.31975740735
15.153934024925	126.69690533397
15.188064506963	125.87713263698
15.222194989001	124.86998670976
15.256325471039	123.68803189865
15.290455953078	122.34688727037
15.324586435116	120.86525376555
15.358716917154	119.26492253220
15.392847399192	117.57075291552
15.426977881230	115.81060460700
15.461108363268	114.01520398788
15.495238845306	112.21792016691
15.529369327344	110.45442242310
15.563499809382	108.76218902889
15.597630291421	107.17983956741
15.631760773459	105.74627101902
15.665891255497	104.49959404404
15.700021737535	103.47589090948
15.734152219573	102.70784900568
15.768282701611	102.22335920892
15.802413183649	102.04419844006
15.836543665687	102.18493082713
15.870674147726	102.65215360363
15.904804629764	103.44417946372
15.938935111802	104.55119181129
15.973065593840	105.95584572922
16.007196075878	107.63423110930
16.041326557916	109.55707795464
16.075457039954	111.69107300153
16.109587521992	114.00016914769
16.143718004031	116.44679685659
16.177848486069	118.99292023141
16.211978968107	121.60091192973
16.246109450145	124.23424581496
16.280239932183	126.85802266049
16.314370414221	129.43935300517
16.348500896259	131.94762417450
16.382631378297	134.35467753317
16.416761860335	136.63491894982
16.450892342374	138.76538150198
16.485022824412	140.72575543698
16.519153306450	142.49839677550
16.553283788488	144.06832288810
16.587414270526	145.42320092296
16.621544752564	146.55333306317
16.655675234602	147.45164115360
16.689805716640	148.11365216056
16.723936198679	148.53748511594
16.758066680717	148.72383956457
16.792197162755	148.67598500471
16.826327644793	148.39975032116
16.860458126831	147.90351170184
