#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Beta-weighted transverse dipolar bunch wake, x-plane
#"s / mm"	"W_perp_beta [V/pC]"
#------------------------
7.464832204200	1.1861884975977e+04
7.494811450000	1.1877166935116e+04
7.524790695800	1.1892780672363e+04
7.554769941600	1.1908722184625e+04
7.584749187400	1.1924986975659e+04
7.614728433200	1.1941570058703e+04
7.644707679000	1.1958465959514e+04
7.674686924800	1.1975668719829e+04
7.704666170600	1.1993171901240e+04
7.734645416400	1.2010968589469e+04
7.764624662200	1.2029051399072e+04
7.794603908000	1.2047412478529e+04
7.824583153800	1.2066043515747e+04
7.854562399600	1.2084935743965e+04
7.884541645400	1.2104079948047e+04
7.914520891200	1.2123466471172e+04
7.944500137000	1.2143085221906e+04
7.974479382800	1.2162925681661e+04
8.004458628600	1.2182976912527e+04
8.034437874400	1.2203227565474e+04
8.064417120200	1.2223665888921e+04
8.094396366000	1.2244279737663e+04
8.124375611800	1.2265056582152e+04
8.154354857600	1.2285983518116e+04
8.184334103400	1.2307047276526e+04
8.214313349200	1.2328234233881e+04
8.244292595000	1.2349530422831e+04
8.274271840800	1.2370921543096e+04
8.304251086600	1.2392392972708e+04
8.334230332400	1.2413929779537e+04
8.364209578200	1.2435516733112e+04
8.394188824000	1.2457138316722e+04
8.424168069800	1.2478778739779e+04
8.454147315600	1.2500421950446e+04
8.484126561400	1.2522051648519e+04
8.514105807200	1.2543651298536e+04
8.544085053000	1.2565204143126e+04
8.574064298800	1.2586693216573e+04
8.604043544600	1.2608101358585e+04
8.634022790400	1.2629411228261e+04
8.664002036200	1.2650605318246e+04
8.693981282000	1.2671665969053e+04
8.723960527800	1.2692575383554e+04
8.753939773600	1.2713315641616e+04
8.783919019400	1.2733868714880e+04
8.813898265200	1.2754216481661e+04
8.843877511000	1.2774340741969e+04
8.873856756800	1.2794223232623e+04
8.903836002600	1.2813845642463e+04
8.933815248400	1.2833189627636e+04
8.963794494200	1.2852236826944e+04
8.993773740000	1.2870968877244e+04
9.023752985800	1.2889367428893e+04
9.053732231600	1.2907414161213e+04
9.083711477400	1.2925090797972e+04
9.113690723200	1.2942379122863e+04
9.143669969000	1.2959260994976e+04
9.173649214800	1.2975718364243e+04
9.203628460600	1.2991733286840e+04
9.233607706400	1.3007287940547e+04
9.263586952200	1.3022364640035e+04
9.293566198000	1.3036945852089e+04
9.323545443800	1.3051014210729e+04
9.353524689600	1.3064552532236e+04
9.383503935400	1.3077543830066e+04
