# Freq(GHz) Re(Zx/y) Im(Zx/y)
# Unit: Ohm/m
# Transverse offset used for normalization: 6.000000e+00 mm
2.290000e+00 1.504871e+00 5.804435e+00
2.300000e+00 1.510774e+00 5.805198e+00
2.310000e+00 1.516882e+00 5.805820e+00
2.320000e+00 1.523188e+00 5.806293e+00
2.330000e+00 1.529685e+00 5.806610e+00
2.340000e+00 1.536367e+00 5.806764e+00
2.350000e+00 1.543227e+00 5.806746e+00
2.360000e+00 1.550257e+00 5.806552e+00
2.370000e+00 1.557450e+00 5.806174e+00
2.380000e+00 1.564798e+00 5.805607e+00
2.390000e+00 1.572293e+00 5.804843e+00
2.400000e+00 1.579927e+00 5.803879e+00
2.410000e+00 1.587691e+00 5.802709e+00
2.420000e+00 1.595578e+00 5.801328e+00
2.430000e+00 1.603579e+00 5.799731e+00
2.440000e+00 1.611684e+00 5.797915e+00
2.450000e+00 1.619885e+00 5.795875e+00
2.460000e+00 1.628173e+00 5.793609e+00
2.470000e+00 1.636540e+00 5.791113e+00
2.480000e+00 1.644975e+00 5.788384e+00
2.490000e+00 1.653470e+00 5.785420e+00
2.500000e+00 1.662016e+00 5.782219e+00
2.510000e+00 1.670602e+00 5.778780e+00
2.520000e+00 1.679221e+00 5.775100e+00
2.530000e+00 1.687862e+00 5.771178e+00
2.540000e+00 1.696516e+00 5.767015e+00
2.550000e+00 1.705174e+00 5.762610e+00
2.560000e+00 1.713827e+00 5.757963e+00
2.570000e+00 1.722465e+00 5.753073e+00
2.580000e+00 1.731080e+00 5.747943e+00
2.590000e+00 1.739661e+00 5.742573e+00
2.600000e+00 1.748200e+00 5.736964e+00
2.610000e+00 1.756689e+00 5.731118e+00
2.620000e+00 1.765117e+00 5.725038e+00
2.630000e+00 1.773477e+00 5.718725e+00
2.640000e+00 1.781760e+00 5.712182e+00
2.650000e+00 1.789956e+00 5.705412e+00
2.660000e+00 1.798059e+00 5.698419e+00
2.670000e+00 1.806059e+00 5.691205e+00
2.680000e+00 1.813948e+00 5.683776e+00
2.690000e+00 1.821719e+00 5.676135e+00
2.700000e+00 1.829364e+00 5.668286e+00
2.710000e+00 1.836876e+00 5.660234e+00
2.720000e+00 1.844246e+00 5.651984e+00
2.730000e+00 1.851469e+00 5.643542e+00
2.740000e+00 1.858536e+00 5.634912e+00
2.750000e+00 1.865442e+00 5.626100e+00
2.760000e+00 1.872180e+00 5.617113e+00
2.770000e+00 1.878744e+00 5.607956e+00
2.780000e+00 1.885127e+00 5.598636e+00
2.790000e+00 1.891325e+00 5.589159e+00
2.800000e+00 1.897331e+00 5.579532e+00
2.810000e+00 1.903141e+00 5.569761e+00
2.820000e+00 1.908750e+00 5.559854e+00
2.830000e+00 1.914152e+00 5.549818e+00
2.840000e+00 1.919344e+00 5.539659e+00
2.850000e+00 1.924322e+00 5.529387e+00
2.860000e+00 1.929081e+00 5.519007e+00
2.870000e+00 1.933619e+00 5.508528e+00
2.880000e+00 1.937932e+00 5.497958e+00
2.890000e+00 1.942016e+00 5.487303e+00
2.900000e+00 1.945870e+00 5.476574e+00
2.910000e+00 1.949492e+00 5.465776e+00
2.920000e+00 1.952878e+00 5.454918e+00
2.930000e+00 1.956028e+00 5.444009e+00
2.940000e+00 1.958940e+00 5.433056e+00
2.950000e+00 1.961612e+00 5.422068e+00
2.960000e+00 1.964044e+00 5.411052e+00
2.970000e+00 1.966236e+00 5.400017e+00
2.980000e+00 1.968187e+00 5.388971e+00
2.990000e+00 1.969896e+00 5.377922e+00
3.000000e+00 1.971366e+00 5.366878e+00
3.010000e+00 1.972595e+00 5.355847e+00
3.020000e+00 1.973585e+00 5.344837e+00
3.030000e+00 1.974337e+00 5.333856e+00
3.040000e+00 1.974852e+00 5.322912e+00
3.050000e+00 1.975133e+00 5.312013e+00
3.060000e+00 1.975180e+00 5.301165e+00
3.070000e+00 1.974997e+00 5.290378e+00
3.080000e+00 1.974586e+00 5.279657e+00
3.090000e+00 1.973950e+00 5.269011e+00
3.100000e+00 1.973091e+00 5.258447e+00
3.110000e+00 1.972013e+00 5.247972e+00
3.120000e+00 1.970720e+00 5.237592e+00
3.130000e+00 1.969214e+00 5.227315e+00
3.140000e+00 1.967501e+00 5.217147e+00
