# Freq(GHz) Re(Z) Im(Z)
4.130000e+00 7.489989e-02 1.692570e-01
4.140000e+00 7.446267e-02 1.694454e-01
4.150000e+00 7.402002e-02 1.696603e-01
4.160000e+00 7.357305e-02 1.699017e-01
4.170000e+00 7.312290e-02 1.701700e-01
4.180000e+00 7.267070e-02 1.704653e-01
4.190000e+00 7.221760e-02 1.707875e-01
4.200000e+00 7.176475e-02 1.711368e-01
4.210000e+00 7.131330e-02 1.715131e-01
4.220000e+00 7.086438e-02 1.719164e-01
4.230000e+00 7.041914e-02 1.723465e-01
4.240000e+00 6.997873e-02 1.728032e-01
4.250000e+00 6.954427e-02 1.732863e-01
4.260000e+00 6.911689e-02 1.737957e-01
4.270000e+00 6.869769e-02 1.743309e-01
4.280000e+00 6.828777e-02 1.748916e-01
4.290000e+00 6.788822e-02 1.754774e-01
4.300000e+00 6.750010e-02 1.760879e-01
4.310000e+00 6.712446e-02 1.767226e-01
4.320000e+00 6.676232e-02 1.773809e-01
4.330000e+00 6.641469e-02 1.780623e-01
4.340000e+00 6.608254e-02 1.787661e-01
4.350000e+00 6.576684e-02 1.794917e-01
4.360000e+00 6.546850e-02 1.802384e-01
4.370000e+00 6.518843e-02 1.810054e-01
4.380000e+00 6.492749e-02 1.817920e-01
4.390000e+00 6.468651e-02 1.825973e-01
4.400000e+00 6.446629e-02 1.834205e-01
4.410000e+00 6.426760e-02 1.842608e-01
4.420000e+00 6.409116e-02 1.851172e-01
4.430000e+00 6.393766e-02 1.859887e-01
4.440000e+00 6.380776e-02 1.868744e-01
4.450000e+00 6.370206e-02 1.877734e-01
4.460000e+00 6.362112e-02 1.886845e-01
4.470000e+00 6.356548e-02 1.896067e-01
4.480000e+00 6.353562e-02 1.905390e-01
4.490000e+00 6.353196e-02 1.914802e-01
4.500000e+00 6.355491e-02 1.924292e-01
4.510000e+00 6.360479e-02 1.933850e-01
4.520000e+00 6.368192e-02 1.943464e-01
4.530000e+00 6.378655e-02 1.953122e-01
4.540000e+00 6.391886e-02 1.962812e-01
4.550000e+00 6.407902e-02 1.972524e-01
4.560000e+00 6.426713e-02 1.982244e-01
4.570000e+00 6.448324e-02 1.991962e-01
4.580000e+00 6.472735e-02 2.001665e-01
4.590000e+00 6.499944e-02 2.011341e-01
4.600000e+00 6.529939e-02 2.020979e-01
4.610000e+00 6.562706e-02 2.030566e-01
4.620000e+00 6.598227e-02 2.040092e-01
4.630000e+00 6.636477e-02 2.049544e-01
4.640000e+00 6.677426e-02 2.058911e-01
4.650000e+00 6.721042e-02 2.068180e-01
4.660000e+00 6.767284e-02 2.077342e-01
4.670000e+00 6.816110e-02 2.086384e-01
4.680000e+00 6.867471e-02 2.095296e-01
4.690000e+00 6.921314e-02 2.104067e-01
4.700000e+00 6.977582e-02 2.112685e-01
4.710000e+00 7.036214e-02 2.121142e-01
4.720000e+00 7.097142e-02 2.129427e-01
4.730000e+00 7.160297e-02 2.137529e-01
4.740000e+00 7.225604e-02 2.145439e-01
4.750000e+00 7.292984e-02 2.153149e-01
4.760000e+00 7.362355e-02 2.160649e-01
4.770000e+00 7.433630e-02 2.167930e-01
4.780000e+00 7.506720e-02 2.174984e-01
4.790000e+00 7.581532e-02 2.181804e-01
4.800000e+00 7.657968e-02 2.188382e-01
4.810000e+00 7.735930e-02 2.194710e-01
4.820000e+00 7.815313e-02 2.200783e-01
4.830000e+00 7.896012e-02 2.206594e-01
4.840000e+00 7.977920e-02 2.212136e-01
4.850000e+00 8.060925e-02 2.217406e-01
4.860000e+00 8.144913e-02 2.222397e-01
