#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Total transverse dipolar wake, x-plane
# RF/BPM beta factors are dimensionless: sum(beta_i/<beta>)
#"s / mm"	"W_perp_total [V/pC/m]"
#------------------------
5.000000000000	1.7191767669035e+04
5.030000000000	1.7138019083307e+04
5.060000000000	1.7084937388092e+04
5.090000000000	1.7032549563881e+04
5.120000000000	1.6980881979945e+04
5.150000000000	1.6929960379319e+04
5.180000000000	1.6879809864326e+04
5.210000000000	1.6830454882621e+04
5.240000000000	1.6781919213773e+04
5.270000000000	1.6734225956386e+04
5.300000000000	1.6687397515764e+04
5.330000000000	1.6641455592119e+04
5.360000000000	1.6596421169329e+04
5.390000000000	1.6552314504247e+04
5.420000000000	1.6509155116568e+04
5.450000000000	1.6466961779240e+04
5.480000000000	1.6425752509452e+04
5.510000000000	1.6385544560165e+04
5.540000000000	1.6346354412210e+04
5.570000000000	1.6308197766955e+04
5.600000000000	1.6271089539526e+04
5.630000000000	1.6235043852599e+04
5.660000000000	1.6200074030751e+04
5.690000000000	1.6166192595386e+04
5.720000000000	1.6133411260215e+04
5.750000000000	1.6101740927309e+04
5.780000000000	1.6071191684302e+04
5.810000000000	1.6041772807793e+04
5.840000000000	1.6013492738652e+04
5.870000000000	1.5986359104161e+04
5.900000000000	1.5960378708650e+04
5.930000000000	1.5935557532916e+04
5.960000000000	1.5911900734184e+04
5.990000000000	1.5889412646632e+04
6.020000000000	1.5868096782451e+04
6.050000000000	1.5847955833457e+04
6.080000000000	1.5828991673240e+04
6.110000000000	1.5811205359845e+04
6.140000000000	1.5794597138986e+04
6.170000000000	1.5779166447784e+04
6.200000000000	1.5764911919028e+04
6.230000000000	1.5751831385945e+04
6.260000000000	1.5739921887481e+04
6.290000000000	1.5729179674083e+04
6.320000000000	1.5719600213978e+04
6.350000000000	1.5711178199940e+04
6.380000000000	1.5703907556531e+04
6.410000000000	1.5697781447831e+04
6.440000000000	1.5692792285617e+04
6.470000000000	1.5688931738015e+04
6.500000000000	1.5686190738594e+04
6.530000000000	1.5684559495903e+04
6.560000000000	1.5684027503449e+04
6.590000000000	1.5684583550089e+04
6.620000000000	1.5686215730850e+04
6.650000000000	1.5688911458147e+04
6.680000000000	1.5692657473409e+04
6.710000000000	1.5697439859084e+04
6.740000000000	1.5703244051029e+04
6.770000000000	1.5710054851272e+04
6.800000000000	1.5717856441129e+04
6.830000000000	1.5726632394668e+04
6.860000000000	1.5736365692518e+04
6.890000000000	1.5747038736000e+04
6.920000000000	1.5758633361579e+04
6.950000000000	1.5771130855616e+04
6.980000000000	1.5784511969418e+04
7.010000000000	1.5798756934570e+04
7.040000000000	1.5813845478533e+04
7.070000000000	1.5829756840503e+04
7.100000000000	1.5846469787523e+04
7.130000000000	1.5863962630814e+04
7.160000000000	1.5882213242345e+04
7.190000000000	1.5901199071602e+04
7.220000000000	1.5920897162557e+04
7.250000000000	1.5941284170828e+04
7.280000000000	1.5962336381006e+04
7.310000000000	1.5984029724144e+04
7.340000000000	1.6006339795398e+04
7.370000000000	1.6029241871799e+04
7.400000000000	1.6052710930157e+04
7.430000000000	1.6076721665065e+04
7.460000000000	1.6101248507007e+04
7.490000000000	1.6126265640558e+04
7.520000000000	1.6151747022642e+04
7.550000000000	1.6177666400862e+04
7.580000000000	1.6203997331876e+04
7.610000000000	1.6230713199800e+04
7.640000000000	1.6257787234639e+04
7.670000000000	1.6285192530725e+04
7.700000000000	1.6312902065149e+04
7.730000000000	1.6340888716179e+04
7.760000000000	1.6369125281645e+04
7.790000000000	1.6397584497286e+04
7.820000000000	1.6426239055042e+04
7.850000000000	1.6455061621277e+04
7.880000000000	1.6484024854927e+04
7.910000000000	1.6513101425560e+04
7.940000000000	1.6542264031326e+04
7.970000000000	1.6571485416807e+04
8.000000000000	1.6600738390729e+04
8.030000000000	1.6629995843552e+04
8.060000000000	1.6659230764898e+04
8.090000000000	1.6688416260838e+04
