# Freq(GHz) Re(Z) Im(Z)
3.050763e+00 5.483754e+05 2.081190e+05
3.063266e+00 5.439742e+05 2.028025e+05
3.075769e+00 5.394721e+05 1.975201e+05
3.088272e+00 5.348640e+05 1.922533e+05
3.100775e+00 5.301644e+05 1.870613e+05
3.113278e+00 5.253715e+05 1.819562e+05
3.125781e+00 5.204963e+05 1.769300e+05
3.138285e+00 5.155422e+05 1.719858e+05
3.150788e+00 5.105233e+05 1.671456e+05
3.163291e+00 5.054164e+05 1.623955e+05
3.175794e+00 5.002317e+05 1.577268e+05
3.188297e+00 4.949701e+05 1.531399e+05
3.200800e+00 4.896284e+05 1.486398e+05
3.213303e+00 4.842034e+05 1.442316e+05
3.225806e+00 4.787043e+05 1.399064e+05
3.238310e+00 4.731320e+05 1.356644e+05
3.250813e+00 4.675019e+05 1.315287e+05
3.263316e+00 4.617943e+05 1.274883e+05
3.275819e+00 4.560155e+05 1.235311e+05
3.288322e+00 4.501659e+05 1.196570e+05
3.300825e+00 4.442419e+05 1.158705e+05
3.313328e+00 4.382399e+05 1.121759e+05
3.325831e+00 4.321564e+05 1.085605e+05
3.338335e+00 4.259337e+05 1.050094e+05
3.350838e+00 4.196167e+05 1.015445e+05
3.363341e+00 4.132334e+05 9.818118e+04
3.375844e+00 4.067788e+05 9.489736e+04
3.388347e+00 4.002520e+05 9.169211e+04
3.400850e+00 3.936478e+05 8.856862e+04
3.413353e+00 3.869608e+05 8.552962e+04
3.425856e+00 3.801976e+05 8.256517e+04
3.438360e+00 3.733563e+05 7.967377e+04
3.450863e+00 3.664297e+05 7.685772e+04
3.463366e+00 3.594224e+05 7.413011e+04
3.475869e+00 3.523358e+05 7.147673e+04
3.488372e+00 3.451588e+05 6.888783e+04
3.500875e+00 3.378817e+05 6.636421e+04
3.513378e+00 3.304937e+05 6.390549e+04
3.525881e+00 3.229997e+05 6.150171e+04
3.538385e+00 3.153935e+05 5.914927e+04
3.550888e+00 3.076605e+05 5.684688e+04
3.563391e+00 2.997845e+05 5.459129e+04
3.575894e+00 2.917791e+05 5.238242e+04
3.588397e+00 2.835973e+05 5.024476e+04
3.600900e+00 2.751994e+05 4.817287e+04
3.613403e+00 2.665992e+05 4.612319e+04
3.625906e+00 2.578015e+05 4.408164e+04
3.638410e+00 2.487873e+05 4.203924e+04
3.650913e+00 2.395189e+05 3.998439e+04
3.663416e+00 2.299539e+05 3.790202e+04
3.675919e+00 2.200880e+05 3.577992e+04
3.688422e+00 2.098897e+05 3.360559e+04
3.700925e+00 1.993033e+05 3.136597e+04
3.713428e+00 1.882385e+05 2.901716e+04
3.725931e+00 1.766776e+05 2.654150e+04
3.738435e+00 1.645521e+05 2.390881e+04
3.750938e+00 1.517337e+05 2.106825e+04
3.763441e+00 1.380709e+05 1.795677e+04
3.775944e+00 1.235079e+05 1.454009e+04
3.788447e+00 1.078922e+05 1.075045e+04
3.800950e+00 9.094203e+04 6.468272e+03
3.813453e+00 7.231588e+04 1.548544e+03
3.825956e+00 5.182727e+04 -4.105198e+03
3.838460e+00 2.906003e+04 -1.068678e+04
3.850963e+00 3.267319e+03 -1.845328e+04
3.863466e+00 -2.659334e+04 -2.796942e+04
3.875969e+00 -6.129513e+04 -3.964506e+04
3.888472e+00 -1.023436e+05 -5.423489e+04
3.900975e+00 -1.526970e+05 -7.324717e+04
3.913478e+00 -2.170777e+05 -9.921525e+04
3.925981e+00 -3.007441e+05 -1.352365e+05
3.938485e+00 -4.142941e+05 -1.877723e+05
3.950988e+00 -5.835583e+05 -2.739607e+05
3.963491e+00 -8.720475e+05 -4.434594e+05
3.975994e+00 -1.429113e+06 -8.541831e+05
3.988497e+00 -2.747090e+06 -2.529251e+06
4.001000e+00 5.153266e+06 -8.574834e+06
4.013503e+00 3.477386e+06 1.537051e+05
4.026007e+00 1.888697e+06 4.071626e+05
4.038510e+00 1.317791e+06 3.721669e+05
4.051013e+00 1.038489e+06 3.316199e+05
4.063516e+00 8.739363e+05 3.013265e+05
4.076019e+00 7.604882e+05 2.785599e+05
4.088522e+00 6.775820e+05 2.612631e+05
4.101025e+00 6.152007e+05 2.481644e+05
4.113528e+00 5.666806e+05 2.381826e+05
4.126032e+00 5.269030e+05 2.302902e+05
4.138535e+00 4.936487e+05 2.240285e+05
4.151038e+00 4.656503e+05 2.191320e+05
4.163541e+00 4.417719e+05 2.153408e+05
4.176044e+00 4.208422e+05 2.123615e+05
4.188547e+00 4.023219e+05 2.100583e+05
4.201050e+00 3.859201e+05 2.083654e+05
4.213553e+00 3.713047e+05 2.071939e+05
4.226057e+00 3.580491e+05 2.064198e+05
4.238560e+00 3.459628e+05 2.059900e+05
4.251063e+00 3.349528e+05 2.058783e+05
4.263566e+00 3.248923e+05 2.060476e+05
4.276069e+00 3.155877e+05 2.064404e+05
4.288572e+00 3.069555e+05 2.070311e+05
4.301075e+00 2.989636e+05 2.078088e+05
4.313578e+00 2.915539e+05 2.087546e+05
4.326082e+00 2.846218e+05 2.098365e+05
4.338585e+00 2.781327e+05 2.110479e+05
4.351088e+00 2.720805e+05 2.123786e+05
4.363591e+00 2.664948e+05 2.137803e+05
4.376094e+00 2.612505e+05 2.152628e+05
4.388597e+00 2.563135e+05 2.168223e+05
4.401100e+00 2.516822e+05 2.184555e+05
4.413603e+00 2.473397e+05 2.201551e+05
4.426107e+00 2.432436e+05 2.219083e+05
4.438610e+00 2.393792e+05 2.237093e+05
4.451113e+00 2.357486e+05 2.255555e+05
4.463616e+00 2.323417e+05 2.274415e+05
4.476119e+00 2.291306e+05 2.293617e+05
4.488622e+00 2.261133e+05 2.313195e+05
4.501125e+00 2.232834e+05 2.333019e+05
4.513628e+00 2.206340e+05 2.353049e+05
4.526132e+00 2.181421e+05 2.373231e+05
4.538635e+00 2.158011e+05 2.393530e+05
4.551138e+00 2.136152e+05 2.413921e+05
4.563641e+00 2.115796e+05 2.434370e+05
4.576144e+00 2.096762e+05 2.454842e+05
4.588647e+00 2.078999e+05 2.475311e+05
4.601150e+00 2.062555e+05 2.495731e+05
4.613653e+00 2.047475e+05 2.515724e+05
4.626157e+00 2.033684e+05 2.535248e+05
4.638660e+00 2.021050e+05 2.554736e+05
4.651163e+00 2.009549e+05 2.574092e+05
4.663666e+00 1.999152e+05 2.593290e+05
4.676169e+00 1.989734e+05 2.612324e+05
4.688672e+00 1.981261e+05 2.631176e+05
4.701175e+00 1.973775e+05 2.649811e+05
4.713678e+00 1.967248e+05 2.668208e+05
4.726182e+00 1.961573e+05 2.686370e+05
4.738685e+00 1.956724e+05 2.704280e+05
4.751188e+00 1.952735e+05 2.721905e+05
4.763691e+00 1.949582e+05 2.739223e+05
4.776194e+00 1.947215e+05 2.756287e+05
4.788697e+00 1.945644e+05 2.773120e+05
4.801200e+00 1.944824e+05 2.789607e+05
4.813703e+00 1.944731e+05 2.805731e+05
4.826207e+00 1.945285e+05 2.821510e+05
4.838710e+00 1.946464e+05 2.836932e+05
4.851213e+00 1.948295e+05 2.851959e+05
4.863716e+00 1.950675e+05 2.866475e+05
4.876219e+00 1.953352e+05 2.880269e+05
4.888722e+00 1.956492e+05 2.893572e+05
4.901225e+00 1.960191e+05 2.906437e+05
4.913728e+00 1.964429e+05 2.918855e+05
4.926232e+00 1.969142e+05 2.930852e+05
4.938735e+00 1.974406e+05 2.942516e+05
4.951238e+00 1.980162e+05 2.953727e+05
4.963741e+00 1.986371e+05 2.964461e+05
4.976244e+00 1.992977e+05 2.974747e+05
4.988747e+00 1.999964e+05 2.984581e+05
