#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Total transverse dipolar wake, y-plane
# RF/BPM beta factors are dimensionless: sum(beta_i/<beta>)
#"s / mm"	"W_perp_total [V/pC/m]"
#------------------------
-1.810000000000	6.1566700146552e-01
-1.780000000000	8.7197758712977e-01
-1.750000000000	1.2280789312004e+00
-1.720000000000	1.7199214544081e+00
-1.690000000000	2.3952574362261e+00
-1.660000000000	3.3170874503886e+00
-1.630000000000	4.5679642356828e+00
-1.600000000000	6.2553187848229e+00
-1.570000000000	8.5179900645061e+00
-1.540000000000	1.1534153251591e+01
-1.510000000000	1.5530849701280e+01
-1.480000000000	2.0795322668550e+01
-1.450000000000	2.7688353319923e+01
-1.420000000000	3.6659768717462e+01
-1.390000000000	4.8266253939994e+01
-1.360000000000	6.3191540991271e+01
-1.330000000000	8.2268964470596e+01
-1.300000000000	1.0650626544769e+02
-1.270000000000	1.3711238868960e+02
-1.240000000000	1.7552585362111e+02
-1.210000000000	2.2344408705488e+02
-1.180000000000	2.8285288872409e+02
-1.150000000000	3.5605496432917e+02
-1.120000000000	4.4569621325009e+02
-1.090000000000	5.5478821029778e+02
-1.060000000000	6.8672508687799e+02
-1.030000000000	8.4529281350347e+02
-1.000000000000	1.0346687318497e+03
-0.970000000000	1.2594091012487e+03
-0.940000000000	1.5244224329737e+03
-0.910000000000	1.8349265064380e+03
-0.880000000000	2.1963872127302e+03
-0.850000000000	2.6144377668167e+03
-0.820000000000	3.0947773783794e+03
-0.790000000000	3.6430491729611e+03
-0.760000000000	4.2646980008117e+03
-0.730000000000	4.9648097409336e+03
-0.700000000000	5.7479347714019e+03
-0.670000000000	6.6178993919356e+03
-0.640000000000	7.5776100984195e+03
-0.610000000000	8.6288566605258e+03
-0.580000000000	9.7721208757996e+03
-0.550000000000	1.1006398597280e+04
-0.520000000000	1.2329043089632e+04
-0.490000000000	1.3735637900308e+04
-0.460000000000	1.5219907188523e+04
-0.430000000000	1.6773670803423e+04
-0.400000000000	1.8386850331719e+04
-0.370000000000	2.0047530856300e+04
-0.340000000000	2.1742081318194e+04
-0.310000000000	2.3455334218053e+04
-0.280000000000	2.5170823017372e+04
-0.250000000000	2.6871073111889e+04
-0.220000000000	2.8537939773281e+04
-0.190000000000	3.0152984122203e+04
-0.160000000000	3.1697876138074e+04
-0.130000000000	3.3154812053335e+04
-0.100000000000	3.4506932329900e+04
-0.070000000000	3.5738725856896e+04
-0.040000000000	3.6836406094253e+04
-0.010000000000	3.7788245633671e+04
0.020000000000	3.8584857036455e+04
0.050000000000	3.9219409778623e+04
0.080000000000	3.9687775594889e+04
0.110000000000	3.9988597342178e+04
0.140000000000	4.0123279556234e+04
0.170000000000	4.0095901994194e+04
0.200000000000	3.9913060481418e+04
0.230000000000	3.9583642159060e+04
0.260000000000	3.9118544622945e+04
0.290000000000	3.8530350342261e+04
0.320000000000	3.7832969067459e+04
0.350000000000	3.7041261635041e+04
0.380000000000	3.6170658643632e+04
0.410000000000	3.5236786938113e+04
0.440000000000	3.4255115755990e+04
0.470000000000	3.3240632849280e+04
0.500000000000	3.2207559002742e+04
0.530000000000	3.1169107244427e+04
0.560000000000	3.0137290810537e+04
0.590000000000	2.9122781703209e+04
0.620000000000	2.8134819576074e+04
0.650000000000	2.7181168791055e+04
0.680000000000	2.6268119883187e+04
0.710000000000	2.5400530397703e+04
0.740000000000	2.4581899151342e+04
0.770000000000	2.3814467421312e+04
0.800000000000	2.3099340364054e+04
0.830000000000	2.2436622078428e+04
0.860000000000	2.1825558108298e+04
0.890000000000	2.1264679773068e+04
0.920000000000	2.0751945463334e+04
0.950000000000	2.0284874883934e+04
0.980000000000	1.9860673113318e+04
1.010000000000	1.9476342227654e+04
1.040000000000	1.9128779069471e+04
1.070000000000	1.8814858492535e+04
1.100000000000	1.8531502064775e+04
1.130000000000	1.8275732746567e+04
1.160000000000	1.8044716477857e+04
1.190000000000	1.7835791906923e+04
1.220000000000	1.7646489684152e+04
1.250000000000	1.7474542838159e+04
1.280000000000	1.7317889763892e+04
1.310000000000	1.7174671298872e+04
1.340000000000	1.7043223260874e+04
1.370000000000	1.6922065683142e+04
1.400000000000	1.6809889825730e+04
1.430000000000	1.6705543875308e+04
1.460000000000	1.6608018355046e+04
1.490000000000	1.6516430639858e+04
1.520000000000	1.6430010793309e+04
1.550000000000	1.6348088442876e+04
1.580000000000	1.6270079924862e+04
1.610000000000	1.6195476840949e+04
1.640000000000	1.6123835791887e+04
1.670000000000	1.6054769284282e+04
1.700000000000	1.5987937766257e+04
1.730000000000	1.5923042720269e+04
1.760000000000	1.5859820724176e+04
1.790000000000	1.5798038382853e+04
1.820000000000	1.5737488030167e+04
1.850000000000	1.5677984103370e+04
1.880000000000	1.5619360097397e+04
1.910000000000	1.5561466014042e+04
1.940000000000	1.5504166229605e+04
1.970000000000	1.5447337713577e+04
2.000000000000	1.5390868539799e+04
2.030000000000	1.5334656639955e+04
2.060000000000	1.5278608756916e+04
2.090000000000	1.5222639562396e+04
2.120000000000	1.5166670909390e+04
2.150000000000	1.5110631195084e+04
2.180000000000	1.5054454814326e+04
2.210000000000	1.4998081687489e+04
2.240000000000	1.4941456849563e+04
2.270000000000	1.4884530089883e+04
2.300000000000	1.4827255633895e+04
2.330000000000	1.4769591860070e+04
2.360000000000	1.4711501046336e+04
2.390000000000	1.4652949141517e+04
2.420000000000	1.4593905558081e+04
2.450000000000	1.4534342983179e+04
2.480000000000	1.4474237205496e+04
2.510000000000	1.4413566955854e+04
2.540000000000	1.4352313759864e+04
2.570000000000	1.4290461801165e+04
2.600000000000	1.4227997794054e+04
2.630000000000	1.4164910864445e+04
2.660000000000	1.4101192438270e+04
2.690000000000	1.4036836136551e+04
2.720000000000	1.3971837676456e+04
2.750000000000	1.3906194777762e+04
2.780000000000	1.3839907074193e+04
2.810000000000	1.3772976029185e+04
2.840000000000	1.3705404855663e+04
2.870000000000	1.3637198439475e+04
2.900000000000	1.3568363266152e+04
2.930000000000	1.3498907350712e+04
2.960000000000	1.3428840170251e+04
2.990000000000	1.3358172599079e+04
3.020000000000	1.3286916846206e+04
3.050000000000	1.3215086394982e+04
3.080000000000	1.3142695944721e+04
3.110000000000	1.3069761354168e+04
3.140000000000	1.2996299586661e+04
3.170000000000	1.2922328656862e+04
3.200000000000	1.2847867578966e+04
3.230000000000	1.2772936316258e+04
3.260000000000	1.2697555731956e+04
3.290000000000	1.2621747541231e+04
3.320000000000	1.2545534264360e+04
3.350000000000	1.2468939180920e+04
3.380000000000	1.2391986284974e+04
3.410000000000	1.2314700241200e+04
3.440000000000	1.2237106341911e+04
3.470000000000	1.2159230464913e+04
3.500000000000	1.2081099032187e+04
3.530000000000	1.2002738969332e+04
3.560000000000	1.1924177665762e+04
3.590000000000	1.1845442935617e+04
3.620000000000	1.1766562979370e+04
3.650000000000	1.1687566346106e+04
3.680000000000	1.1608481896456e+04
3.710000000000	1.1529338766176e+04
3.740000000000	1.1450166330343e+04
3.770000000000	1.1370994168177e+04
3.800000000000	1.1291852028457e+04
3.830000000000	1.1212769795546e+04
3.860000000000	1.1133777455996e+04
3.890000000000	1.1054905065753e+04
3.920000000000	1.0976182717927e+04
3.950000000000	1.0897640511162e+04
3.980000000000	1.0819308518571e+04
4.010000000000	1.0741216757253e+04
4.040000000000	1.0663395158394e+04
4.070000000000	1.0585873537945e+04
4.100000000000	1.0508681567878e+04
4.130000000000	1.0431848748039e+04
4.160000000000	1.0355404378575e+04
4.190000000000	1.0279377532963e+04
4.220000000000	1.0203797031632e+04
4.250000000000	1.0128691416182e+04
4.280000000000	1.0054088924211e+04
4.310000000000	9.9800174647525e+03
4.340000000000	9.9065045943197e+03
4.370000000000	9.8335774935778e+03
4.400000000000	9.7612629446330e+03
4.430000000000	9.6895873089521e+03
4.460000000000	9.6185765059141e+03
4.490000000000	9.5482559919988e+03
4.520000000000	9.4786507406161e+03
4.550000000000	9.4097852225800e+03
4.580000000000	9.3416833872311e+03
4.610000000000	9.2743686442115e+03
4.640000000000	9.2078638458943e+03
4.670000000000	9.1421912704721e+03
4.700000000000	9.0773726057063e+03
4.730000000000	9.0134289333412e+03
4.760000000000	8.9503807141845e+03
4.790000000000	8.8882477738571e+03
4.820000000000	8.8270492892157e+03
4.850000000000	8.7668037754482e+03
4.880000000000	8.7075290738466e+03
4.910000000000	8.6492423402566e+03
4.940000000000	8.5919600342087e+03
4.970000000000	8.5356979087292e+03
5.000000000000	8.4804710008340e+03
5.030000000000	8.4262936227055e+03
5.060000000000	8.3731793535529e+03
5.090000000000	8.3211410321562e+03
5.120000000000	8.2701907500922e+03
5.150000000000	8.2203398456433e+03
5.180000000000	8.1715988983866e+03
5.210000000000	8.1239777244604e+03
5.240000000000	8.0774853725084e+03
5.270000000000	8.0321301202951e+03
5.300000000000	7.9879194719920e+03
5.330000000000	7.9448601561287e+03
