#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Beta-weighted transverse dipolar bunch wake, y-plane
# beta_factor is dimensionless: sum(beta_i/<beta>)
# Z_perp unit: Ohm/m
#"s / mm"	"W_perp_beta [V/pC/m]"
#------------------------
-5.126451031800	3.1969997354791e-14
-5.096471786000	3.3359997239781e-15
-5.066492540200	-1.3899998849909e-14
-5.036513294400	5.9491995077610e-14
-5.006534048600	2.0571998297865e-14
-4.976554802800	8.5623992915439e-14
-4.946575557000	4.2255996503723e-14
-4.916596311200	6.6719994479563e-14
-4.886617065400	6.4495994663577e-14
-4.856637819600	4.0865996618732e-14
-4.826658573800	2.1127998251862e-14
-4.796679328000	1.0341599144332e-13
-4.766700082200	8.8125992708423e-14
-4.736720836400	1.2092998999421e-13
-4.706741590600	8.2287993191461e-14
-4.676762344800	1.3760998861410e-13
-4.646783099000	1.0174799158133e-13
-4.616803853200	9.2017992386397e-14
-4.586824607400	7.5893993720503e-14
-4.556845361600	2.7243997745822e-14
-4.526866115800	1.0007999171934e-14
-4.496886870000	3.4749997124772e-14
-4.466907624200	1.2787998941916e-14
-4.436928378400	2.4741997952838e-14
-4.406949132600	-1.9459998389873e-15
-4.376969886800	9.1739992409399e-15
-4.346990641000	-4.1699996549727e-14
-4.317011395200	5.7267995261625e-14
-4.287032149400	-4.4479996319709e-15
-4.257052903600	7.1723994065530e-14
-4.227073657800	8.0619993329472e-15
-4.197094412000	3.5027997101771e-14
-4.167115166200	-7.5059993789508e-15
-4.137135920400	3.5305997078769e-14
-4.107156674600	-2.7799997699818e-14
-4.077177428800	3.7529996894754e-14
-4.047198183000	-1.4733998780903e-14
-4.017218937200	5.9769995054608e-14
-3.987239691400	5.5599995399636e-15
-3.957260445600	4.1143996595730e-14
-3.927281199800	-3.0301997492801e-14
-3.897301954000	1.4733998780903e-14
-3.867322708200	-5.2124995687159e-14
-3.837343462400	8.4372993018947e-14
-3.807364216600	7.0333994180539e-14
-3.777384970800	1.2037399004021e-13
-3.747405725000	6.2688994813089e-14
-3.717426479200	6.4495994663577e-14
-3.687447233400	2.6826997780324e-14
-3.657467987600	5.1429995744663e-14
-3.627488741800	1.9181998412874e-14
-3.597509496000	1.0744699110980e-13
-3.567530250200	5.4626995480142e-14
-3.537551004400	1.1543949044849e-13
-3.507571758600	7.5615993743505e-14
-3.477592512800	7.2279994019526e-14
-3.447613267000	4.6356496164446e-14
-3.417634021200	7.7631493576741e-14
-3.387654775400	3.7217246920631e-14
-3.357675529600	1.0560524126218e-13
-3.327696283800	6.4669744649201e-14
-3.297717038000	1.2817536439472e-13
-3.267737792200	7.8526306002704e-14
-3.237758546400	9.6917741980990e-14
-3.207779300600	7.3722118900205e-14
-3.177800054800	2.0429523309654e-13
-3.147820809000	2.4641222961176e-13
-3.117841563200	5.4630470479855e-13
-3.087862317400	8.3580693084502e-13
-3.057883071600	1.4645038788264e-12
-3.027903825800	2.4938682936564e-12
-2.997924580000	4.3784301377271e-12
-2.967945334200	7.6386748679732e-12
-2.937966088400	1.3549857878880e-11
-2.907986842600	2.3775670032792e-11
-2.878007596800	4.1688320550693e-11
-2.848028351000	7.2573422995248e-11
-2.818049105200	1.2591425158181e-10
-2.788069859400	2.1713883203385e-10
-2.758090613600	3.7266869916525e-10
-2.728111367800	6.3622087835885e-10
-2.698132122000	1.0804798536007e-09
-2.668152876200	1.8249182000056e-09
-2.638173630400	3.0658618643295e-09
-2.608194384600	5.1228117721367e-09
-2.578215138800	8.5138554915604e-09
-2.548235893000	1.4073359635565e-08
-2.518256647200	2.3138137133542e-08
-2.488277401400	3.7837227179334e-08
-2.458298155600	6.1542127313982e-08
-2.428318909800	9.9560726404309e-08
-2.398339664000	1.6020235452480e-07
-2.368360418200	2.5639977493539e-07
-2.338381172400	4.0816527162225e-07
-2.308401926600	6.4628839482386e-07
-2.278422680800	1.0178669712893e-06
-2.248443435000	1.5945291579281e-06
-2.218464189200	2.4845815340108e-06
-2.188484943400	3.8508440737677e-06
-2.158505697600	5.9366743019194e-06
-2.128526451800	9.1036988505626e-06
-2.098547206000	1.3886179265054e-05
-2.068567960200	2.1068849290408e-05
-2.038588714400	3.1797652844754e-05
-2.008609468600	4.7736287201120e-05
-1.978630222800	7.1286085501309e-05
-1.948650977000	1.0589288507534e-04
-1.918671731200	1.5647253452483e-04
-1.888692485400	2.2999708129057e-04
-1.858713239600	3.3629705767914e-04
-1.828733993800	4.8915233377920e-04
-1.798754748000	7.0776555156302e-04
-1.768775502200	1.0187391098072e-03
-1.738796256400	1.4587100638744e-03
-1.708817010600	2.0778382431602e-03
-1.678837764800	2.9443925366668e-03
-1.648858519000	4.1507398143295e-03
-1.618879273200	5.8211114508756e-03
-1.588900027400	8.1216048374468e-03
-1.558920781600	1.1272972292557e-02
-1.528941535800	1.5566857680066e-02
-1.498962290000	2.1386261497461e-02
-1.468983044200	2.9231147129936e-02
-1.439003798400	3.9750242312811e-02
-1.409024552600	5.3780237340103e-02
-1.379045306800	7.2393730532652e-02
-1.349066061000	9.6957415637585e-02
-1.319086815200	1.2920213711956e-01
-1.289107569400	1.7130654780289e-01
-1.259128323600	2.2599617723632e-01
-1.229149077800	2.9665974494241e-01
-1.199169832000	3.8748451533197e-01
-1.169190586200	5.0361237440769e-01
-1.139211340400	6.5131809588516e-01
-1.109232094600	8.3821093983653e-01
-1.079252848800	1.0734602755901e+00
-1.049273603000	1.3680453301646e+00
-1.019294357200	1.7350284256389e+00
-0.989315111400	2.1898501805530e+00
-0.959335865600	2.7506441154736e+00
-0.929356619800	3.4385669331059e+00
-0.899377374000	4.2781394599625e+00
-0.869398128200	5.2975918708930e+00
-0.839418882400	6.5292054115144e+00
-0.809439636600	8.0096414389731e+00
-0.779460390800	9.7802472801799e+00
-0.749481145000	1.1887327228432e+01
-0.719501899200	1.4382366039481e+01
-0.689522653400	1.7322191624560e+01
-0.659543407600	2.0769063347268e+01
-0.629564161800	2.4790672484650e+01
-0.599584916000	2.9460042071121e+01
-0.569605670200	3.4855314552697e+01
-0.539626424400	4.1059417464392e+01
-0.509647178600	4.8159599707701e+01
-0.479667932800	5.6246833922926e+01
-0.449688687000	6.5415083868608e+01
-0.419709441200	7.5760439553743e+01
-0.389730195400	8.7380127005250e+01
-0.359750949600	1.0037140385503e+02
-0.329771703800	1.1483035623848e+02
-0.299792458000	1.3085061663541e+02
-0.269813212200	1.4852202607330e+02
-0.239833966400	1.6792926737302e+02
-0.209854720600	1.8915049867994e+02
-0.179875474800	2.1225601824111e+02
-0.149896229000	2.3730699214556e+02
-0.119916983200	2.6435427645760e+02
-0.089937737400	2.9343736380733e+02
-0.059958491600	3.2458348206773e+02
-0.029979245800	3.5780686930374e+02
0.000000000000	3.9310824483223e+02
0.029979245800	4.3047449113208e+02
0.059958491600	4.6987855567882e+02
0.089937737400	5.1127957576167e+02
0.119916983200	5.5462322320523e+02
0.149896229000	5.9984225990204e+02
0.179875474800	6.4685728939676e+02
0.209854720600	6.9557768466361e+02
0.239833966400	7.4590266787200e+02
0.269813212200	7.9772251449153e+02
0.299792458000	8.5091985165275e+02
0.329771703800	9.0537101931439e+02
0.359750949600	9.6094746250104e+02
0.389730195400	1.0175171236314e+03
0.419709441200	1.0749458056751e+03
0.449688687000	1.1330984794402e+03
0.479667932800	1.1918405115512e+03
0.509647178600	1.2510387934702e+03
0.539626424400	1.3105627560497e+03
0.569605670200	1.3702852584157e+03
0.599584916000	1.4300833442807e+03
0.629564161800	1.4898388629237e+03
0.659543407600	1.5494389559071e+03
0.689522653400	1.6087764140202e+03
0.719501899200	1.6677499118543e+03
0.749481145000	1.7262641297821e+03
0.779460390800	1.7842297748963e+03
0.809439636600	1.8415635136737e+03
0.839418882400	1.8981878297906e+03
0.869398128200	1.9540308206651e+03
0.899377374000	2.0090259460166e+03
0.929356619800	2.0631117410667e+03
0.959335865600	2.1162315060458e+03
0.989315111400	2.1683329824944e+03
1.019294357200	2.2193680255249e+03
1.049273603000	2.2692922798164e+03
1.079252848800	2.3180648657097e+03
1.109232094600	2.3656480804031e+03
1.139211340400	2.4120071179682e+03
1.169190586200	2.4571098107342e+03
1.199169832000	2.5009263935557e+03
1.229149077800	2.5434292915913e+03
1.259128323600	2.5845929314809e+03
1.289107569400	2.6243935752237e+03
1.319086815200	2.6628091756024e+03
1.349066061000	2.6998192516812e+03
1.379045306800	2.7354047826881e+03
1.409024552600	2.7695481184787e+03
1.439003798400	2.8022329047412e+03
1.468983044200	2.8334440211285e+03
1.498962290000	2.8631675305774e+03
1.528941535800	2.8913906381843e+03
1.558920781600	2.9181016581393e+03
1.588900027400	2.9432899873636e+03
1.618879273200	2.9669460846465e+03
1.648858519000	2.9890614542245e+03
1.678837764800	3.0096286328891e+03
1.708817010600	3.0286411798395e+03
1.738796256400	3.0460936686207e+03
1.768775502200	3.0619816805932e+03
1.798754748000	3.0763017994769e+03
1.828733993800	3.0890516065963e+03
1.858713239600	3.1002296765222e+03
1.888692485400	3.1098355728683e+03
1.918671731200	3.1178698440483e+03
