# Freq(GHz) Re(Z) Im(Z)
2.290000e+00 -1.985853e+04 5.345712e+04
2.300000e+00 -2.004903e+04 5.431906e+04
2.310000e+00 -1.975151e+04 5.497408e+04
2.320000e+00 -1.915394e+04 5.550187e+04
2.330000e+00 -1.855636e+04 5.602967e+04
2.340000e+00 -1.795879e+04 5.655747e+04
2.350000e+00 -1.736121e+04 5.708526e+04
2.360000e+00 -1.676363e+04 5.761306e+04
2.370000e+00 -1.616606e+04 5.814086e+04
2.380000e+00 -1.556848e+04 5.866865e+04
2.390000e+00 -1.497090e+04 5.919645e+04
2.400000e+00 -1.437333e+04 5.972425e+04
2.410000e+00 -1.377575e+04 6.025204e+04
2.420000e+00 -1.317817e+04 6.077984e+04
2.430000e+00 -1.258060e+04 6.130764e+04
2.440000e+00 -1.198302e+04 6.183543e+04
2.450000e+00 -1.138544e+04 6.236323e+04
2.460000e+00 -1.078787e+04 6.289103e+04
2.470000e+00 -1.019029e+04 6.341882e+04
2.480000e+00 -9.592714e+03 6.394662e+04
2.490000e+00 -8.995138e+03 6.447442e+04
2.500000e+00 -8.397561e+03 6.500221e+04
2.510000e+00 -7.799984e+03 6.553001e+04
2.520000e+00 -7.202408e+03 6.605781e+04
2.530000e+00 -6.604831e+03 6.658561e+04
2.540000e+00 -6.007255e+03 6.711340e+04
2.550000e+00 -5.409678e+03 6.764120e+04
2.560000e+00 -4.810053e+03 6.815280e+04
2.570000e+00 -4.116648e+03 6.792346e+04
2.580000e+00 -3.423244e+03 6.769412e+04
2.590000e+00 -2.729840e+03 6.746478e+04
2.600000e+00 -2.036436e+03 6.723544e+04
2.610000e+00 -1.343031e+03 6.700610e+04
2.620000e+00 -6.496270e+02 6.677676e+04
2.630000e+00 4.377731e+01 6.654742e+04
2.640000e+00 7.371816e+02 6.631808e+04
2.650000e+00 1.430586e+03 6.608874e+04
2.660000e+00 2.123990e+03 6.585940e+04
2.670000e+00 2.817394e+03 6.563006e+04
2.680000e+00 3.510799e+03 6.540072e+04
2.690000e+00 4.204203e+03 6.517138e+04
2.700000e+00 4.897607e+03 6.494204e+04
2.710000e+00 5.591011e+03 6.471270e+04
2.720000e+00 6.284416e+03 6.448336e+04
2.730000e+00 6.977820e+03 6.425402e+04
2.740000e+00 7.671224e+03 6.402468e+04
2.750000e+00 8.364629e+03 6.379533e+04
2.760000e+00 9.058033e+03 6.356599e+04
2.770000e+00 9.751437e+03 6.333665e+04
2.780000e+00 1.044484e+04 6.310731e+04
2.790000e+00 1.113825e+04 6.287797e+04
2.800000e+00 1.183165e+04 6.264863e+04
2.810000e+00 1.252505e+04 6.241929e+04
2.820000e+00 1.298490e+04 6.201238e+04
2.830000e+00 1.312685e+04 6.136376e+04
2.840000e+00 1.326880e+04 6.071514e+04
2.850000e+00 1.341075e+04 6.006651e+04
2.860000e+00 1.355269e+04 5.941789e+04
2.870000e+00 1.369464e+04 5.876927e+04
2.880000e+00 1.383659e+04 5.812065e+04
2.890000e+00 1.397854e+04 5.747203e+04
2.900000e+00 1.412048e+04 5.682341e+04
2.910000e+00 1.426243e+04 5.617479e+04
2.920000e+00 1.440438e+04 5.552617e+04
2.930000e+00 1.454633e+04 5.487755e+04
2.940000e+00 1.468827e+04 5.422893e+04
2.950000e+00 1.483022e+04 5.358031e+04
2.960000e+00 1.497217e+04 5.293169e+04
2.970000e+00 1.511411e+04 5.228307e+04
2.980000e+00 1.525606e+04 5.163445e+04
2.990000e+00 1.539801e+04 5.098583e+04
3.000000e+00 1.553996e+04 5.033721e+04
3.010000e+00 1.568190e+04 4.968859e+04
3.020000e+00 1.582385e+04 4.903997e+04
3.030000e+00 1.596580e+04 4.839134e+04
3.040000e+00 1.610775e+04 4.774272e+04
3.050000e+00 1.624969e+04 4.709410e+04
3.060000e+00 1.639164e+04 4.644548e+04
3.070000e+00 1.653359e+04 4.579686e+04
3.080000e+00 1.619102e+04 4.534920e+04
3.090000e+00 1.574615e+04 4.494397e+04
3.100000e+00 1.530128e+04 4.453874e+04
3.110000e+00 1.485641e+04 4.413351e+04
3.120000e+00 1.441154e+04 4.372828e+04
3.130000e+00 1.396667e+04 4.332305e+04
3.140000e+00 1.352179e+04 4.291782e+04
3.150000e+00 1.307692e+04 4.251259e+04
3.160000e+00 1.263205e+04 4.210737e+04
3.170000e+00 1.218718e+04 4.170214e+04
3.180000e+00 1.174231e+04 4.129691e+04
